#Year	2015										
#Location	Warsaw, Poland										
#Dates	April 12 - 15										
#Website	https://recomb.org/recomb2015/										
#PC_Chair	Teresa M. Przytycka										
#Organization_Committee	Jerzy Tiuryn (co-chair), Bartek Wilczyński (co-chair), Paweł Bednarz, Agata Charzyńska, Norbert Dojer, Anna Gambin, Paweł Górecki, Ilona Grabowicz, Julia Herman-Iżycka, Aleksander Jankowski, Agnieszka Mykowiecka, Ewa Szczurek, Irina Tuszyńska, Damian Wójtowicz, Rafał Zaborowski										
#Keynotes	Madan Babu, Bonnie Berger, M. Magda Konarska, Michael Levitt, Bas van Steensel, Wacław Szybalski										
#Proceedings_Type	LNCS										
#Proceedings_Volume	9029										
#Authors	RECOMB 2015 Paper Title (Original)	LNCS 9029 Pages	LNCS 9029 DOI	Preprint	Preprint DOI Prefix	Journal Name	Title in Journal Version	Journal Authors	Journal Volume, Issue, and Pages	Journal Publication Year	Journal Version DOI
Mark A. Hallen and Bruce R. Donald	COMETS (Constrained Optimization of Multistate Energies by Tree Search): A Provable and Efficient Algorithm to Optimize Binding Affinity and Specificity with Respect to Sequence	122-135	10.1007/978-3-319-16706-0_14	NONE		Journal of Computational Biology	COMETS (Constrained Optimization of Multistate Energies by Tree Search): A Provable and Efficient Protein Design Algorithm to Optimize Binding Affinity and Specificity with Respect to Sequence	Mark A. Hallen, Bruce R. Donald	23(5): 311-321	2016	10.1089/cmb.2015.0188
Jong Wha J. Joo, Eun Yong Kang, Elin Org, Nick Furlotte, Brian Parks, Aldons J. Lusis, Eleazar Eskin	Efficient and Accurate Multiple-Phenotypes Regression Method for High Dimensional Data Considering Population Structure	136-153	10.1007/978-3-319-16706-0_15	NONE		Genetics	Efficient and Accurate Multiple-Phenotype Regression Method for High Dimensional Data Considering Population Structure	Jong Wha J. Joo, Eun Yong Kang, Elin Org, Nick Furlotte, Brian Parks, Farhad Hormozdiari, Aldons J. Lusis, Eleazar Eskin	204(4):1379-1390	2016	10.1534/genetics.116.189712
Jonathan D. Jou, Swati Jain, Ivelin Georgiev, Bruce R. Donald	BWM*: A Novel, Provable, Ensemble-Based Dynamic Programming Algorithm for Sparse Approximations of Computational Protein Design 	154-166	10.1007/978-3-319-16706-0_16	NONE		Journal of Computational Biology	BWM*: A Novel, Provable, Ensemble-Based Dynamic Programming Algorithm for Sparse Approximations of Computational Protein Design	Jonathan D. Jou, Swati Jain, Ivelin S. Georgiev, Bruce R. Donald	23(6): 413-424	2016	10.1089/cmb.2015.0194
Seunghak Lee, Aurélie Lozano, Prabhanjan Kambadur, Eric P. Xing	An Efficient Nonlinear Regression Approach for Genome-wide Detection of Marginal and Interacting Genetic Variations	167-187	10.1007/978-3-319-16706-0_17	NONE		Journal of Computational Biology	An Efficient Nonlinear Regression Approach for Genome-wide Detection of Marginal and Interacting Genetic Variations	Seunghak Lee, Aurélie C. Lozano, Prabhanjan Kambadur, Eric P. Xing	23(5): 372-389	2016	10.1089/cmb.2015.0202
Sumudu P. Leelananda, Robert L. Jernigan, Andrzej Kloczkowski	Exploration of Designability of Proteins Using Graph Features of Contact Maps: Beyond Lattice Models	188-201	10.1007/978-3-319-16706-0_18	NONE		Journal of Computational Biology	Predicting Designability of Small Proteins from Graph Features of Contact Maps	Sumudu P. Leelananda, Robert L. Jernigan, Andrzej Kloczkowski	23(5): 400-411	2016	10.1089/cmb.2015.0209
Mark D.M. Leiserson, Hsin-Ta Wu, Fabio Vandin, Benjamin J. Raphael	CoMEt: A Statistical Approach to Identify Combinations of Mutually Exclusive Alterations in Cancer	202-204	10.1007/978-3-319-16706-0_19	NONE		Genome Biology	CoMEt: A Statistical Approach to Identify Combinations of Mutually Exclusive Alterations in Cancer	Mark D.M. Leiserson, Hsin-Ta Wu, Fabio Vandin, Benjamin J. Raphael	16: 160	2015	10.1186/s13059-015-0700-7
Yifeng Li, Chih-Yu Chen, Wyeth W. Wasserman	Deep Feature Selection: Theory and Application to Identify Enhancers and Promoters	205-217	10.1007/978-3-319-16706-0_20	NONE		Journal of Computational Biology	Deep Feature Selection: Theory and Application to Identify Enhancers and Promoters	Yifeng Li, Chih-Yu Chen, Wyeth W. Wasserman	23(5): 322-336	2016	10.1089/cmb.2015.0189
Jianzhu Ma, Sheng Wang, Zhiyong Wang, Jinbo Xu	Protein Contact Prediction by Integrating Joint Evolutionary Coupling Analysis and Supervised Learning	218-221	10.1007/978-3-319-16706-0_21	arXiv:1312.2988	10.48550	Bioinformatics	Protein contact prediction by integrating joint evolutionary coupling analysis and supervised learning	Jianzhu Ma, Sheng Wang, Zhiyong Wang, Jinbo Xu	31(21): 3506-3513	2015	10.1093/bioinformatics/btv472
Igor Mandric and Alex Zelikovsky	ScaffMatch: Scaffolding Algorithm Based on Maximum Weight Matching	222-223	10.1007/978-3-319-16706-0_22	NONE		Bioinformatics	ScaffMatch: scaffolding algorithm based on maximum weight matching	Igor Mandric, Alex Zelikovsky	31(16): 2632-2638	2015	10.1093/bioinformatics/btv211
David Manescu and Uri Keich	A Symmetric Length-Aware Enrichment Test	224-242	10.1007/978-3-319-16706-0_23	NONE		Journal of Computational Biology	A Symmetric Length-Aware Enrichment Test	David Manescu, Uri Keich	23(6): 508-525	2016	10.1089/cmb.2016.0038
