#Year	2011										
#Location	Vancouver, BC, Canada										
#Dates	March 28 - 31										
#Website	https://recomb.org/recomb2011/										
#PC_Chair	Vineet Bafna										
#Organization_Committee	S. Cenk Sahinalp (chair), Cedric Chauve, Martin Ester, Inanc Birol, Fiona Brinkman, Steven Jones, Anne Condon, Jack Chen, Artem Cherkasov, Colin Collins, Tamon Stephen, Stas Volik, Wyeth Wasserman, Kay Wiese										
#Keynotes	Evan Eichler, Daphne Koller, Marco Marra, Karen Nelson, Elaine Mardis, Joseph Nadeau										
#Proceedings_Type	LNCS										
#Proceedings_Volume	6577										
#Authors	RECOMB 2011 Paper Title (Original)	LNCS 6577 Pages	LNCS 6577 DOI	Preprint	Preprint DOI Prefix	Journal Name	Title in Journal Version	Journal Authors	Journal Volume, Issue, and Pages	Journal Publication Year	Journal Version DOI
Tien-ho Lin, Ziv Bar-Joseph, Robert F. Murphy	Learning Cellular Sorting Pathways Using Protein Interactions and Sequence Motifs	204-221	10.1007/978-3-642-20036-6_20	NONE		Journal of Computational Biology	Learning Cellular Sorting Pathways Using Protein Interactions and Sequence Motifs	Tien-ho Lin, Ziv Bar‐Joseph, Robert F. Murphy	18(11): 1709-1722	2011	10.1089/cmb.2011.0193
Jeffrey W. Martin, Anthony K. Yan, Chris Bailey-Kellogg, Pei Zhou, Bruce R. Donald	A Geometric Arrangement Algorithm for Structure Determination of Symmetric Protein Homo-oligomers from NOEs and RDCs	222-237	10.1007/978-3-642-20036-6_21	NONE		Journal of Computational Biology	A Geometric Arrangement Algorithm for Structure Determination of Symmetric Protein Homo-Oligomers from NOEs and RDCs	Jeffrey W. Martin, Anthony K. Yan, Chris Bailey‐Kellogg, Pei Zhou, Bruce R. Donald	18(11): 1507-1523	2011	10.1089/cmb.2011.0173
Paul Medvedev, Son Pham, Mark Chaisson, Glenn Tesler, Pavel Pevzner	Paired de Bruijn Graphs: A Novel Approach for Incorporating Mate Pair Information into Genome Assemblers	238-251	10.1007/978-3-642-20036-6_22	NONE		Journal of Computational Biology	Paired de Bruijn Graphs: A Novel Approach for Incorporating Mate Pair Information into Genome Assemblers	Paul Medvedev, Son Pham, Mark Chaisson, Glenn Tesler, Pavel A. Pevzner	18(11): 1625-1634	2011	10.1089/cmb.2011.0151
Navodit Misra, Guy Blelloch, R. Ravi, Russell Schwartz	An Optimization-Based Sampling Scheme for Phylogenetic Trees	252-266	10.1007/978-3-642-20036-6_23	NONE		Journal of Computational Biology	An Optimization-Based Sampling Scheme for Phylogenetic Trees	Navodit Misra, Guy E. Blelloch, R. Ravi, Russell Schwartz	18(11): 1599-1609	2011	10.1089/cmb.2011.0164
Hosein Mohimani, Wei-Ting Liu, Yu-Liang Yang, Susana P. Gaudêncio, William Fenical, Pieter C. Dorrestein, Pavel A. Pevzner	Multiplex De Novo Sequencing of Peptide Antibiotics	267-281	10.1007/978-3-642-20036-6_24	NONE		Journal of Computational Biology	Multiplex De Novo Sequencing of Peptide Antibiotics	Hosein Mohimani, Wei-Ting Liu, Yuliang Yang, Susana P. Gaudêncio, William Fenical, Pieter C. Dorrestein, Pavel A. Pevzner	18(11): 1371-1381	2011	10.1089/cmb.2011.0158
Daniel Newkirk, Jacob Biesinger, Alvin Chon, Kyoko Yokomori, Xiaohui Xie	AREM: Aligning Short Reads from ChIP-Sequencing by Expectation Maximization	283-297	10.1007/978-3-642-20036-6_26	NONE		Journal of Computational Biology	AREM: Aligning Short Reads from ChIP-Sequencing by Expectation Maximization	Daniel A. Newkirk, Jacob Biesinger, Alvin Chon, Kyoko Yokomori, Xiaohui Xie	18(11): 1495-1505	2011	10.1089/cmb.2011.0185
Julio Ng, Amihood Amir, Pavel A. Pevzner	Blocked Pattern Matching Problem and Its Applications in Proteomics	298-319	10.1007/978-3-642-20036-6_27	NONE		NONE	NA	NA	NA	NA	NA
Andrew S. Parker, Karl E. Griswold, Chris Bailey-Kellogg	Optimization of Combinatorial Mutagenesis	321-335	10.1007/978-3-642-20036-6_29	NONE		Journal of Computational Biology	Optimization of Combinatorial Mutagenesis	Andrew S. Parker, Karl E. Griswold, Chris Bailey‐Kellogg	18(11): 1743-1756	2011	10.1089/cmb.2011.0152
Yu Peng, Henry C.M. Leung, S.M. Yiu, Francis Y.L. Chin	T-IDBA: A de novo Iterative de Bruijn Graph Assembler for Transcriptome	337-338	10.1007/978-3-642-20036-6_31	NONE		NONE	NA	NA	NA	NA	NA
Tobias Petri, Robert Küffner, Ralf Zimmer	Experiment Specific Expression Patterns	339-354	10.1007/978-3-642-20036-6_32	NONE		Journal of Computational Biology	Experiment Specific Expression Patterns	Tobias Petri, Robert Küffner, Ralf Zimmer	18(11): 1423-1435	2011	10.1089/cmb.2011.0159
