#Year	2009										
#Location	Tucson, AZ, United States										
#Dates	May 18 - 21										
#Website	https://recomb.org/recomb2009										
#PC_Chair	Serafim Batzoglou										
#Organization_Committee	John Kececioglu (chair)										
#Keynotes	Carlos D. Bustamante, Rade Drmanac, Mark Gerstein, Eran Halperin, Michael Hammer, Joanna Mountain, Stephen Quake, Mostafa Ronaghi, Pardis Sabeti, Michael Snyder										
#Proceedings_Type	LNCS										
#Proceedings_Volume	5541										
#Authors	RECOMB 2009 Paper Title (Original)	LNCS 5541 Pages	LNCS 5541 DOI	Preprint	Preprint DOI Prefix	Journal Name	Title in Journal Version	Journal Authors	Journal Volume, Issue, and Pages	Journal Publication Year	Journal Version DOI
Ali Bashir, Qing Lu, Dennis Carson, Benjamin Raphael, Yu-Tsueng Liu, Vineet Bafna	Optimizing PCR Assays for DNA Based Cancer Diagnostics	220-235	10.1007/978-3-642-02008-7_17	NONE		Journal of Computational Biology	Optimizing PCR Assays for DNA-Based Cancer Diagnostics	Ali Bashir, Qing Lü, Dennis A. Carson, Benjamin J. Raphael, Yu‐Tsueng Liu, Vineet Bafna	17(3): 369-381	2010	10.1089/cmb.2009.0203
Dan Gusfield	The Multi-State Perfect Phylogeny Problem with Missing and Removable Data: Solutions via Integer-Programming and Chordal Graph Theory	236-252	10.1007/978-3-642-02008-7_18	NONE		Journal of Computational Biology	The Multi-State Perfect Phylogeny Problem with Missing and Removable Data: Solutions via Integer-Programming and Chordal Graph Theory	Dan Gusfield	17(3): 383-399	2010	10.1089/cmb.2009.0200
Xiang Zhang, Feng Pan, Yuying Xie, Fei Zou, Wei Wang	COE: A General Approach for Efficient Genome-Wide Two-Locus Epistasis Test in Disease Association Study	253-269	10.1007/978-3-642-02008-7_19	NONE		Journal of Computational Biology	COE: A General Approach for Efficient Genome-Wide Two-Locus Epistasis Test in Disease Association Study	Xiang Zhang, Feng Pan, Yuying Xie, Fei Zou, Wei Wang	17(3): 401-415	2010	10.1089/cmb.2009.0155
Snehit Prabhu and Itsik Pe'er	Overlapping Pools for High Throughput Targeted Resequencing	270-270	10.1007/978-3-642-02008-7_20	NONE		Genome Research	Overlapping pools for high-throughput targeted resequencing	Snehit Prabhu, Itsik Pe’er	19(7): 1254-1261	2009	10.1101/gr.088559.108
Osvaldo Zagordi, Lukas Geyrhofer, Volker Roth, Niko Beerenwinkel	Deep Sequencing of a Genetically Heterogeneous Sample: Local Haplotype Reconstruction and Read Error Correction	271-284	10.1007/978-3-642-02008-7_21	NONE		Journal of Computational Biology	Deep Sequencing of a Genetically Heterogeneous Sample: Local Haplotype Reconstruction and Read Error Correction	Osvaldo Zagordi, Lukas Geyrhofer, Volker Röth, Niko Beerenwinkel	17(3): 417-428	2010	10.1089/cmb.2009.0164
Mathias Möhl, Sebastian Will, Rolf Backofen	Lifting Prediction to Alignment of RNA Pseudoknots	285-301	10.1007/978-3-642-02008-7_22	NONE		Journal of Computational Biology	Lifting Prediction to Alignment of RNA Pseudoknots	Mathias Möhl, Sebastian Will, Rolf Backofen	17(3): 429-442	2010	10.1089/cmb.2009.0168
Mathieu Lavallée-Adam, Benoit Coulombe, Mathieu Blanchette	Detection of Locally Over-Represented GO Terms in Protein-Protein Interaction Networks	302-320	10.1007/978-3-642-02008-7_23	NONE		Journal of Computational Biology	Detection of Locally Over-Represented GO Terms in Protein-Protein Interaction Networks	Mathieu Lavallée‐Adam, Benoit Coulombe, Mathieu Blanchette	17(3): 443-457	2010	10.1089/cmb.2009.0165
Wei Zheng, Karl E. Griswold, Chris Bailey-Kellogg	Protein Fragment Swapping: A Method for Asymmetric, Selective Site-Directed Recombination	321-338	10.1007/978-3-642-02008-7_24	NONE		Journal of Computational Biology	Protein Fragment Swapping: A Method for Asymmetric, Selective Site-Directed Recombination	Wei Zheng, Karl E. Griswold, Chris Bailey‐Kellogg	17(3): 459-475	2010	10.1089/cmb.2009.0189
Jérôme Waldispühl, Charles W. O'Donnell, Sebastian Will, Srinivas Devadas, Rolf Backofen, Bonnie Berger	Simultaneous Alignment and Folding of Protein Sequences	339-355	10.1007/978-3-642-02008-7_25	NONE		Journal of Computational Biology	Simultaneous Alignment and Folding of Protein Sequences	Jérôme Waldispühl, Charles W. O'Donnell, Sebastian Will, Srinivas Devadas, Rolf Backofen, Bonnie Berger	21(7): 477-491	2014	10.1089/cmb.2013.0163
Banu Dost, Nuno Bandeira, Xiangqian Li, Zhouxin Shen, Steve Briggs, Vineet Bafna	Shared Peptides in Mass Spectrometry Based Protein Quantification	356-371	10.1007/978-3-642-02008-7_26	NONE		Journal of Computational Biology	Accurate Mass Spectrometry Based Protein Quantification via Shared Peptides	Banu Dost, Nuno Bandeira, Xiangqian Li, Zhouxin Shen, Steven P. Briggs, Vineet Bafna	19(4): 337-348	2012	10.1089/cmb.2009.0267
Benjamin J. Hescott, Maek D.M. Leiserson, Lenore J. Cowen, Donna K. Slonim	Evaluating Between-Pathway Models with Expression Data	372-385	10.1007/978-3-642-02008-7_27	NONE		Journal of Computational Biology	Evaluating Between-Pathway Models with Expression Data	Benjamin Hescott, Mark D.M. Leiserson, Thuc Duy Le, Donna K. Slonim	17(3): 477-487	2010	10.1089/cmb.2009.0178
Krister M. Swenson, Vaibhav Rajan, Yu Lin, Bernard M.E. Moret	Sorting Signed Permutations by Inversions in O(n log n) Time	386-399	10.1007/978-3-642-02008-7_28	NONE		Journal of Computational Biology	Sorting Signed Permutations by Inversions in O ( n log n ) Time	Krister M. Swenson, Vaibhav Rajan, Yu Lin, Bernard M. E. Moret	17(3): 489-501	2010	10.1089/cmb.2009.0184
Saket Navlakha, James White, Niranjan Nagarajan, Mihai Pop, Carl Kingsford	Finding Biologically Accurate Clusterings in Hierarchical Tree Decompositions Using the Variation of Information	400-417	10.1007/978-3-642-02008-7_29	NONE		Journal of Computational Biology	Finding Biologically Accurate Clusterings in Hierarchical Tree Decompositions Using the Variation of Information	Saket Navlakha, James R. White, Niranjan Nagarajan, Mihai Pop, Carl Kingsford	17(3): 503-516	2010	10.1089/cmb.2009.0173
Suzanne S. Sindi and Benjamin J. Raphael	Identification and Frequency Estimation of Inversion Polymorphisms from Haplotype Data	418-433	10.1007/978-3-642-02008-7_30	NONE		Journal of Computational Biology	Identification and Frequency Estimation of Inversion Polymorphisms from Haplotype Data	Suzanne Sindi, Benjamin J. Raphael	17(3): 517-531	2010	10.1089/cmb.2009.0185
Sheila M. Reynolds, Jeff A. Bilmes, William Stafford Noble	On the Relationship between DNA Periodicity and Local Chromatin Structure	434-450	10.1007/978-3-642-02008-7_31	NONE		NONE	NA	NA	NA	NA	NA
Constantinos Daskalakis, Elchanan Mossel, Sebastien Roch	Phylogenies without Branch Bounds: Contracting the Short, Pruning the Deep	451-465	10.1007/978-3-642-02008-7_32	arXiv:0801.4190	10.4855						
Eun Yong Kang, Ilya Shpitser, Chun Ye, Eleazar Eskin	Detecting the Presence and Absence of Causal Relationships between Expression of Yeast Genes with Very Few Samples	466-481	10.1007/978-3-642-02008-7_33	NONE		Journal of Computational Biology	Detecting the Presence and Absence of Causal Relationships between Expression of Yeast Genes with Very Few Samples	Eun Yong Kang, Chun Ye, Ilya Shpitser, Eleazar Eskin	17(3): 533-546	2010	10.1089/cmb.2009.0176
Hyun Min Kang, Noah A. Zaitlen, Buhm Han, Eleazar Eskin	An Adaptive and Memory Efficient Algorithm for Genotype Imputation	482-495	10.1007/978-3-642-02008-7_34	NONE		Journal of Computational Biology	EMINIM: An Adaptive and Memory-Efficient Algorithm for Genotype Imputation	Hyun Min Kang, Noah Zaitlen, Eleazar Eskin	17(3): 547-560	2010	10.1089/cmb.2009.0199
Itai Sharon, Amrita Pati, Victor M. Markowitz, Ron Y. Pinter	A Statistical Framework for the Functional Analysis of Metagenomes	496-511	10.1007/978-3-642-02008-7_35	NONE		NONE	NA	NA	NA	NA	NA
Eagu Kim, Travis Wheeler, John Kececioglu	Learning Models for Aligning Protein Sequences with Predicted Secondary Structure	512-532	10.1007/978-3-642-02008-7_36	NONE		Journal of Computational Biology	Aligning Protein Sequences with Predicted Secondary Structure	John Kececioglu, Eagu Kim, Travis J. Wheeler	17(3): 561-580	2010	10.1089/cmb.2009.0222
