#Year	2001										
#Location	Montreal, Canada										
#Dates	April 21 - 25										
#Website	https://recomb.org/recomb2001										
#PC_Chair	Thomas Lengauer										
#Organization_Committee	David Sankoff (chair), Nadia El-Mabrouk, Michael Hallett, François Major, Thomas Hagedorn, Theo Mevissen, Louis Pelletier, Ralf Zimmer										
#Keynotes	George Church, Phillip Sharp, Mark Adams, Roger Brent, Franz Lang, Klaus Lindpaintner, Yvonne Martin, Mark Ptashne, Matthias Wilm										
#Proceedings_Type	ACM										
#Proceedings_Volume											
#Authors	RECOMB 2001 Title (Original)	ACM Pages	ACM Proceedings DOI	Preprint	Preprint DOI Prefix	Journal Name	Journal Version Title	Journal Authors	Journal Volume, Issue, and Pages	Journal Publication Year	Journal Version DOI
Giuseppe Lancia, Robert Carr, Brian Walenz, Sorin Istrail	101 optimal PDB structure alignments: a branch-and-cut algorithm for the maximum contact map overlap problem	193–202	10.1145/369133.369199	NONE		NONE					
Wentian Li	DNA segmentation as a model selection process	204–210	10.1145/369133.369202	arXiv:physics/0104027	10.4855	NONE					
Guo-Hui Lin, Bin Ma, Kaizhong Zhang	Edit distance between two RNA structures	211–220	10.1145/369133.369214	NONE		Journal of Computational Biology	A General Edit Distance between RNA Structures	Tao Jiang, Guohui Lin, Bin Ma, Kaizhong Zhang	9(2): 371-388	2002	10.1089/10665270252935511
Gene Myers	Comparing sequence scaffolds	224–230	10.1145/369133.369218	NONE		NONE	NA	NA	NA	NA	NA
Gonzalo Navarro, Mathieu Raffinot	Fast and simple character classes and bounded gaps pattern matching, with application to protein searching	231–240	10.1145/369133.369220	NONE		Journal of Computational Biology	Fast and Simple Character Classes and Bounded Gaps Pattern Matching, with Applications to Protein Searching	Gonzalo Navarro, Mathieu Raffinot	10(6): 903-923	2003	10.1089/106652703322756140
Lior Pachter, Marina Alexandersson, Simon Cawley	Applications of generalized pair hidden Markov models to alignment and gene finding problems	241–248	10.1145/369133.369227	NONE		Journal of Computational Biology	Applications of Generalized Pair Hidden Markov Models to Alignment and Gene Finding Problems	Lior Pachter, Marina Alexandersson, Simon Cawley	9(2): 389-399	2002	10.1089/10665270252935520
Paul Pavlidis, Jason Weston, Jinsong Cai, William Noble Grundy	Gene functional classification from heterogeneous data	249–255	10.1145/369133.369228	NONE		Journal of Computational Biology	Learning Gene Functional Classifications from Multiple Data Types	Paul Pavlidis, Jason Weston, Jinsong Cai, William Stafford Noble	9(2): 401-411	2002	10.1089/10665270252935539
Pavel A. Pevzner, Haixu Tang, Michael S. Waterman	A new approach to fragment assembly in DNA sequencing	256–267	10.1145/369133.369230	NONE		NONE	NA	NA	NA	NA	NA
Ron Shamir, Dekel Tsur	Large scale sequencing by hybridization	269–277	10.1145/369133.369233	NONE		Journal of Computational Biology	Large Scale Sequencing by Hybridization	Ron Shamir, Dekel Tsur	9(2): 413-428	2002	10.1089/10665270252935548
Mona Singh, Peter S. Kim	Towards predicting coiled-coil protein interactions	279–286	10.1145/369133.369238	NONE		NONE					
Guang Song, Nancy M. Amato	Using motion planning to study protein folding pathways	287–296	10.1145/369133.369239	NONE		Journal of Computational Biology	Using Motion Planning to Study Protein Folding Pathways	Nancy M. Amato, Guang Song	9(2): 149-168	2002	10.1089/10665270252935395
Mengxiang Tang, Michael Waterman, Shibu Yooseph	Zinc finger gene clusters and tandem gene duplication	297–304	10.1145/369133.369241	NONE		Journal of Computational Biology	Zinc Finger Gene Clusters and Tandem Gene Duplication	Mengxiang Tang, Michael S. Waterman, Shibu Yooseph	9(2): 429-446	2002	10.1089/10665270252935557
Gert Thijs, Kathleen Marchal, Magali Lescot, Stephane Rombauts, Bart De Moor, Pierre Rouzé, Yves Moreau	A Gibbs sampling method to detect over-represented motifs in the upstream regions of co-expressed genes	305–312	10.1145/369133.369253	NONE		Journal of Computational Biology	A Gibbs Sampling Method to Detect Overrepresented Motifs in the Upstream Regions of Coexpressed Genes	Gert Thijs, Kathleen Marchal, Magali Lescot, Stéphane Rombauts, Bart De Moor, Pierre Rouzé, Yves Moreau	9(2): 447-464	2002	10.1089/10665270252935566
