#Year	2000										
#Location	Tokyo, Japan										
#Dates	April 8 - 11										
#Website	https://recomb.org/recomb2000										
#PC_Chair	Ron Shamir										
#Organization_Committee	Satoru Miyano (chair), Tatsuya Akutsu, Nir Friedman, Osamu Maruyama, Kenta Nakai, Asako Suzuki, Toshihisa Takagi, Ayako Tomiyasu										
#Keynotes	Minoru Kanehisa, Hans Lehrach, Svante Paabo, Eric Davidson, Takashi Gojobori, Leroy Hood, Walter Gilbert, Yusuke Nakamura										
#Proceedings_Type	ACM										
#Proceedings_Volume											
#Authors	RECOMB 2000 Title (Original)	ACM Pages	ACM Proceedings DOI	Preprint	Preprint DOI Prefix	Journal Name	Journal Version Title	Journal Authors	Journal Volume, Issue, and Pages	Journal Publication Year	Journal Version DOI
Reece Hart, Ajay K. Royyuru, Gustavo Stolovitzky, Andrea Califano	Systematic and automated discovery of patterns in PROSITE families	147–154	10.1145/332306.332360	NONE		Journal of Computational Biology	Systematic and Fully Automated Identification of Protein Sequence Patterns	Reece K. Hart, Ajay K. Royyuru, Gustavo Stolovitzky, Andrea Califano	7(3-4): 585-600	2000	10.1089/106652700750050952
Steffan Heber, Jens Stoye, Jörg Hoheisel, Martin Vingron	Contig selection in physical mapping	155–164	10.1145/332306.332361	NONE		Journal of Computational Biology	Contig Selection in Physical Mapping	Steffen Heber, Jens Stoye, Marcus Frohme, Jörg D. Hoheisel, Martin Vingron	7(3-4): 395-408	2000	10.1089/106652700750050853
Maricel Kann, Richard A. Goldstein	Optimizing for success: a new score function for distantly related protein sequence comparison	177–182	10.1145/332306.332536	NONE		NONE	NA	NA	NA	NA	NA
John Krececioglu, Sanjay Shete, Jonathan Arnold	Reconstructing distances in physical maps of chromosomes with nonoverlapping probes	183–192	10.1145/332306.332540	NONE		NONE	NA	NA	NA	NA	NA
Adam Liwo, Jaroslaw Pillardy, Cezary Czaplewski, Jooyoung Lee, Daniel R. Ripoll, Malgorzata Groth, Sylwia Rodziewicz-Motowidlo, Rajmund Kamierkiewicz, Ryszard J. Wawak, Stanislaw Oldziej, Harold A. Scheraga	UNRES: a united-residue force field for energy-based prediction of protein structure—orgin and significance of multibody terms	193–200	10.1145/332306.332544	NONE		NONE	NA	NA	NA	NA	NA
Rune B. Lyngsø, Christian N. S. Pedersen	Pseudoknots in RNA secondary structures	201–209	10.1145/332306.332551	NONE		BRICS Report Series	Pseudoknots in RNA Secondary Structures	Rune B. Lyngsø, Christian N. S. Pedersen	7(1)	2000	10.7146/brics.v7i1.20129
Laurent Marsan, Marie-France Sagot	Extracting structured motifs using a suffix tree—algorithms and application to promoter consensus identification	210–219	10.1145/332306.332553	NONE		Journal of Computational Biology	Algorithms for Extracting Structured Motifs Using a Suffix Tree with an Application to Promoter and Regulatory Site Consensus Identification	Laurent Marsan, Marie-France Sagot	7(3-4): 345-362	2000	10.1089/106652700750050826
Masaru Tomita, Kenta Hashimoto, Koichi Takahashi, Yuri Matsuzaki, Ryo Matsushima, Katsuyuki Yugi, Fumihiko Miyoshi, Hisako Nakano, Yusuke Saito, S. Shimizu, Yoichi Nakayama	The E-CELL project: towards integrative simulation of cellular processes	290–298	10.1145/332306.332567	NONE		New Generation Computing	The E-CELL project: Towards integrative simulation of cellular processes	Masaru Tomita, Kenta Hashimoto, Koichi Takahashi, Yuri Matsuzaki, Ryo Matsushima, Kanako Saito, Katsuyuki Yugi, Fumihiko Miyoshi, Hisako Nakano, Sakura Tanida, Yûsuke Saito, Akiko Kawase, Naoko Watanabe, Thomas S. Simizu, Yoichi Nakayama	18(1): 1-12	2000	10.1007/bf03037563
Ying Xu, Dong Xu, Oakley H. Crawford, J. Ralph Einstein, Engin Serpersu	Protein structure determination using protein threading and sparse NMR data	299–307	10.1145/332306.332568	NONE		NONE	NA	NA	NA	NA	NA
Golan Yona, Michael Levitt	A unified sequence-structure classification of protein sequences: combining sequence and structure in a map of the protein space	308–317	10.1145/332306.332569	NONE		NONE	NA	NA	NA	NA	NA
Alexander Zein, Ralf Zimmer, Thomas Lengauer	A simple iterative approach to parameter optimization	318–327	10.1145/332306.332570	NONE		Journal of Computational Biology	A Simple Iterative Approach to Parameter Optimization	Alexander Zien, Ralf Zimmer, Thomas Lengauer	7(3-4): 483-501	2000	10.1089/106652700750050907
