#Year	1999										
#Location	Lyon, France										
#Dates	April 11 - 14										
#Website	https://recomb.org/recomb1999										
#PC_Chair	Sorin Istrail										
#Organization_Committee	Mireille Regnier (chair), Florence Balax, Daniel Kahn, Gregory Kucherov, Sophie Schbath, Annick Theis-Viémont										
#Keynotes	Peer Bork, Cyrus Chothia, Daniel Cohen, John Moult, Gene Myers, Piotr Slonimski, E. M. Southern, Peter Willett, John Woole										
#Proceedings_Type	ACM										
#Proceedings_Volume											
#Authors	RECOMB 1999 Title (Original)	ACM Pages	ACM Proceedings DOI	Preprint	Preprint DOI Prefix	Journal Name	Journal Version Title	Journal Authors	Journal Volume, Issue, and Pages	Journal Publication Year	Journal Version DOI
Jon M. Kleinberg	Efficient algorithms for protein sequence design and the analysis of certain evolutionary fitness landscapes	226–237	10.1145/299432.299487	NONE		Journal of Computational Biology	Efficient Algorithms for Protein Sequence Design and the Analysis of Certain Evolutionary Fitness Landscapes	Jon Kleinberg	6(3-4): 387-404	1999	10.1089/106652799318346
Richard H. Lathrop	An anytime algorithm for gapped block protein threading with pair interactions	238–249	10.1145/299432.299488	NONE		NONE	NA	NA	NA	NA	NA
Steven M. LaValle, Paul W. Finn, Lydia E. Kavraki, Jeal-Claude Latombe	Efficient database screening for rational drug design using pharmacophore-constrained conformational search	250–260	10.1145/299432.299489	NONE		NONE	NA	NA	NA	NA	NA
Rune B. Lyngsø, Michael Zuker, Christian N. S. Pedersen	Internal loops in RNA secondary structure prediction	260–267	10.1145/299432.299490	NONE		Bioinformatics	Fast evaluation of internal loops in RNA secondary structure prediction.	R B Lyngsø, Michael Zuker, Clara Nautrup Pedersen	15(6): 440-445	1999	10.1093/bioinformatics/15.6.440
Guy Mayraz, Ron Shamir	Construction of physical maps from oligonucleotide fingerprints data	268–277	10.1145/299432.299497	NONE		Journal of Computational Biology	Construction of Physical Maps from Oligonucleotide Fingerprints Data	Guy Mayraz, Ron Shamir	6(2): 237-252	1999	10.1089/cmb.1999.6.237
Julie C. Mitchell, J. Ben Rosen, Andrew T. Phillips, Lynn F. Ten Eyck	Coupled optimization in protein docking	280–284	10.1145/299432.299502	NONE		NONE					
Lior Pachter, Serafim Batzoglou, Valentin I. Spitkovsky, William S. Beebee, Eric S. Lander, Bonnie Berger, Daniel J. Kleitman	A dictionary based approach for gene annotation	285–294	10.1145/299432.299504	NONE		Journal of Computational Biology	A Dictionary-Based Approach for Gene Annotation	Lior Pachter, Serafim Batzoglou, Valentin I. Spitkovsky, Eric Banks, Eric S. Lander, Daniel J. Kleitman, Bonnie Berger	6(3-4): 419-430	1999	10.1089/106652799318364
Franco P. Preparata, Alan M. Frieze, Eli Upfal	On the power of universal bases in sequencing by hybridization	295–301	10.1145/299432.299505	NONE		NONE	NA	NA	NA	NA	NA
David Sankoff, Mathieu Blanchette	Probability models for genome rearrangement and linear invariants for phylogenetic inference	302–309	10.1145/299432.299506	NONE		NONE	NA	NA	NA	NA	NA
Maxim Totrov, Ruben Abagyan	Derivation of sensitive discrimination potential for virtual ligand screening	312–320	10.1145/299432.299509	NONE		NONE	NA	NA	NA	NA	NA
Martin J. Bayley, Valerie J. Gillet, Peter Willett, John Bradshaw, Darren V. S. Green	Computational analysis of molecular diversity for drug discovery	321–330	10.1145/299432.299510	NONE		NONE	NA	NA	NA	NA	NA
