Authors	RECOMB 2026 Paper Title (Original)	LNCS 1xxxx Pages	LNCS 1xxxx DOI	Preprint	Journal Name	Title in Journal Version	Journal Authors	Journal Volume, Issue, and Pages	Journal Publication Year	Journal Version DOI
Ryan Doughty, Michael Tisza, Todd Treangen	bronko: ultrarapid, alignment-free detection of viral genome variation			bioRxiv 2025.12.01.691650	NONE					
Leah Weber, Chi Yin Ching, Chrisopher Ly, Yixiao Cheng, Chunxu Gao, Peter Van Loo	Arborist: Prioritizing Bulk DNA Inferred Tumor Phylogenies via Low-pass Single-cell DNA Sequencing Data			bioRxiv 2026.02.26.707773	NONE					
Zhongxuan Sun, Hyunseung Kang, Sunduz Keles	Causal gene regulatory network inference from Perturb-seq via adaptive instrumental variable modeling			bioRxiv 2026.02.18.706642	NONE					
Xinyu Gu, Stefan Ivanovic, Daniel Feng, Mohammed El-Kebir	Summarizing RNA Structural Ensembles via Maximum Agreement Secondary Structures			bioRxiv 2026.02.25.708069	NONE					
Danrong Li, Young Kun Ko, Stefan Canzar	CAMP: Coreset Accelerated Metacell Partitioning enables scalable analysis of single-cell data			bioRxiv 2025.12.11.693725	NONE					
Anusha Aggarwal, Ksenia Sokolova, Olga Troyanskaya	Multi-modal tissue-aware graph neural network for in silico genetic discovery			bioRxiv 2026.02.17.706433	NONE					
Arghamitra Talukder, Nicholas Keung, Itsik Pe'Er, David A. Knowles	CLADES — Contrastive Learning Augmented DifferEntial Splicing with Orthologous Positive Pairs			bioRxiv 2026.02.20.707118	NONE					
Chang Lu, Yuval Kluger, Rong Ma	MOSAIC: A Spectral Framework for Integrative Phenotypic Characterization Using Population-Level Single-Cell Multi-Omics			bioRxiv 2026.02.10.705077	NONE					
Anupama Nandi, Seth Neel, Hyunghoon Cho	GOPHER: Optimization-based Phenotype Randomization for Genome-Wide Association Studies with Differential Privacy			arXiv:2512.04225	NONE					
Chih Hao Wu, Jacob Gilbert, Salem Malikić, S. Cenk Sahinalp	Identifying Robust Subclonal Structures Through Tumor Progression Tree Alignment			bioRxiv 2026.02.25.708046	NONE					
Anish Karpurapu, Charles Gersbach, Rohit Singh	DeltaNMF: A Two-Stage Neural NMF for Differential Gene Program Discovery			bioRxiv 2026.01.22.701049	NONE					
Aditya Pratapa, Rohit Singh, Purushothama Rao Tata	Transforming Biological Foundation Model Representations for Out-of-Distribution Data			bioRxiv 2025.11.20.689462	NONE					
Zhengtong Liu, Arush Ramteke, Aakarsh Anand, Aditya Gorla, Moonseong Jeong, Sriram Sankararaman	A biobank-scale method for learning environmental modulators of gene–environment interaction underlying complex traits			bioRxiv 2026.03.13.711725	NONE					
Xinhai Pan, Yiru Chen, Xiuwei Zhang	Integrative Inference of Spatially Informed Cell Lineage Trees using LineageMap			bioRxiv 2026.01.19.700383	NONE					
Kailey Hua, Ellie Haber, Jian Ma	Uncertainty-aware synthetic lethality prediction with pretrained foundation models			bioRxiv 2026.02.25.708096	NONE					
Shitong Dai, Jiaqi Luo, Yunan Luo	Evolutionary profile enhancement improves protein function annotation			bioRxiv 2026.03.03.709280	NONE					
