#Year	2002										
#Location	Washington, DC, United States										
#Dates	April 18 - 21										
#Website	https://recomb.org/recomb2002										
#PC_Chair	Gene Myers										
#Organization_Committee	Sridhar Hannenhalli (chair), Kathy Ambrose, Liliana Florea, George Komatsoulis, Jason Miller, Morgan Park, Michelle Perry, Russell Schwartz, Brian Walenz										
#Keynotes	Ruben Abagyan, Ali Brivanlou, Evan Eichler, Harold Garner, David Ho, Gerry Rubin, Craig Venter, Marc Vidal										
#Proceedings_Type	ACM										
#Proceedings_Volume											
#Authors	RECOMB 2002 Title (Original)	ACM Pages	ACM Proceedings DOI	Preprint	Preprint DOI Prefix	Journal Name	Journal Version Title	Journal Authors	Journal Volume, Issue, and Pages	Journal Publication Year	Journal Version DOI
Samuel A. Heath, Franco P. Preparata, Joel Young	Sequencing by hybridization using direct and reverse cooperating spectra	186–193	10.1145/565196.565220	NONE		Journal of Computational Biology	Sequencing by Hybridization by Cooperating Direct and Reverse Spectra	Samuel A. Heath, Franco P. Preparata, Joel Young	10(3-4): 499-508	2003	10.1089/10665270360688147
Uri Keich, Pavel A. Pevzner	Finding motifs in the twilight zone	195–204	10.1145/565196.565222	NONE		Bioinformatics	Finding motifs in the twilight zone	Uri Keich, Pavel A. Pevzner	18(10): 1374-1381	2002	10.1093/bioinformatics/18.10.1374
Christopher James Langmead, Anthony K. Yan, C. Robertson McClung, Bruce Randall Donald	Phase-independent rhythmic analysis of genome-wide expression patterns	205–215	10.1145/565196.565223	NONE		Journal of Computational Biology	Phase-Independent Rhythmic Analysis of Genome-Wide Expression Patterns	Christopher J. Langmead, Anthony K. Yan, C. Robertson McClung, Bruce R. Donald	10(3-4): 521-536	2003	10.1089/10665270360688165
Jia Li, Webb Miller	Significance Of inter-species matches when evolutionary rate varies	216–224	10.1145/565196.565224	NONE		Journal of Computational Biology	Significance of Interspecies Matches when Evolutionary Rate Varies	Jia Li, Webb Miller	10(3-4): 537-554	2003	10.1089/10665270360688174
Li Liao, William Stafford Noble	Combining pairwise sequence similarity and support vector machines for remote protein homology detection	225–232	10.1145/565196.565225	NONE		Journal of Computational Biology	Combining Pairwise Sequence Similarity and Support Vector Machines for Detecting Remote Protein Evolutionary and Structural Relationships	Li Liao, William Stafford Noble	10(6): 857-868	2003	10.1089/106652703322756113
Brendan M. Mumey, Brian W. Bailey, Edward A. Dratz	Revealing protein structures: a new method for mapping antibody epitopes	233–240	10.1145/565196.565226	NONE		NONE	NA	NA	NA	NA	NA
Jurg Ott, Josephine Hoh	Set association analysis of SNP case-control and microarray data	241–245	10.1145/565196.565227	NONE		Journal of Computational Biology	Set Association Analysis of SNP Case-Control and Microarray Data	Jürg Ott, Josephine Hoh	10(3-4): 569-574	2003	10.1089/10665270360688192
Lior Pachter, Fumei Lam	Picking alignments from (steiner) trees	246–253	10.1145/565196.565228	NONE		Journal of Computational Biology	Picking Alignments from (Steiner) Trees	Fumei Lam, Marina Alexandersson, Lior Pachter	10(3-4): 509-520	2003	10.1089/10665270360688156
Sam Rash, Dan Gusfield	String barcoding: uncovering optimal virus signatures	254–261	10.1145/565196.565229	NONE		NONE	NA	NA	NA	NA	NA
Eran Segal, Yoseph Barash, Itamar Simon, Nir Friedman, Daphne Koller	From promoter sequence to expression: a probabilistic framework	263–272	10.1145/565196.565231	NONE		NONE	NA	NA	NA	NA	NA
Eran Segal, Daphne Koller	Probabilistic hierarchical clustering for biological data	273–280	10.1145/565196.565232	NONE		NONE	NA	NA	NA	NA	NA
Adam C. Siepel	An algorithm to enumerate all sorting reversals	281–290	10.1145/565196.565233	NONE		Journal of Computational Biology	An Algorithm to Enumerate Sorting Reversals for Signed Permutations	Adam Siepel	10(3-4): 575-597	2003	10.1089/10665270360688200
Saurabh Sinha	Discriminative motifs	291–298	10.1145/565196.565234	NONE		Journal of Computational Biology	Discriminative Motifs	Saurabh Sinha	10(3-4): 599-615	2003	10.1089/10665270360688219
Miguel L. Teodoro, George N. Phillips, Lydia E. Kavraki	A dimensionality reduction approach to modeling protein flexibility	299–308	10.1145/565196.565235	NONE		NONE	NA	NA	NA	NA	NA
Andy Wildenberg, Steven Skiena, Pavel Sumazin	Deconvolving sequence variation in mixed DNA populations	311–320	10.1145/565196.565238	NONE		Journal of Computational Biology	Deconvolving Sequence Variation in Mixed DNA Populations	Andy Wildenberg, Steven Skiena, Pavel Sumazin	10(3-4): 635-652	2003	10.1089/10665270360688237
Alexander Zien, Juliane Fluck, Ralf Zimmer, Thomas Lengauer	Microarrays: how many do you need?	321–330	10.1145/565196.565239	NONE		Journal of Computational Biology	Microarrays: How Many Do You Need?	Alexander Zien, Juliane Fluck, Ralf Zimmer, Thomas Lengauer	10(3-4): 653-667	2003	10.1089/10665270360688246
