#Year	2018										
#Location	Paris, France										
#Dates	April 21 - 24										
#Website	https://recomb.org/recomb2018/										
#PC_Chair	Benjamin J. Raphael										
#Organization_Committee	Yann Ponty (co-chair), Mireille Regnier (co-chair), Alessandra Carbone, Celine Scornavacca, Eric Tannier, Hélène Touzet, Stéphane Vialette										
#Keynotes	Peter Campbell, Ron Shamir, Sarah Teichmann, Nevan Krogan, Francois Spitz, Tandy Warnow										
#Proceedings_Type	LNCS										
#Proceedings_Volume	10812										
#Authors	RECOMB 2018 Paper Title (Original)	LNCS 10812 Pages	LNCS 10812 DOI	Preprint	Preprint DOI Prefix	Journal Name	Title in Journal Version	Journal Authors	Journal Volume, Issue, and Pages	Journal Publication Year	Journal Version DOI
Tristan Bepler, Andrew Morin, Alex J. Noble, Julia Brasch, Lawrence Shapiro, Bonnie Berger	Positive-Unlabeled Convolutional Neural Networks for Particle Picking in Cryo-electron Micrographs	245-247	10.1007/978-3-319-89929-9	arXiv:1803.08207	10.4855	Nature Methods	Positive-unlabeled convolutional neural networks for particle picking in cryo-electron micrographs	Tristan Bepler, Andrew Morin, Micah Rapp, Julia Brasch, Lawrence Shapiro, Alex J. Noble, Bonnie Berger	16:1153–1160	2018	10.1038/s41592-019-0575-8
Édouard Bonnet, Paweł Rzążewski, Florian Sikora	Designing RNA Secondary Structures Is Hard	248-250	10.1007/978-3-319-89929-9	arXiv:1710.11513	10.4855	Journal of Computational Biology	Designing RNA Secondary Structures Is Hard	Édouard Bonnet, Paweł Rzążewski, Florian Sikora	27(3):302-316	2020	10.1089/cmb.2019.0420
Hyunghoon Cho, Bonnie Berger, Jian Peng	Generalizable Visualization of Mega-Scale Single-Cell Data	251-253	10.1007/978-3-319-89929-9	NONE		NONE					
Ghislain Durif, Laurent Modolo, Jeff E Mold, Sophie Lambert-Lacroix, Franck Picard	Probabilistic Count Matrix Factorization for Single Cell Expression Data Analysis	254-255	10.1007/978-3-319-89929-9	bioRxiv 211938	10.1101	Bioinformatics	Probabilistic count matrix factorization for single cell expression data analysis	Ghislain Durif, Laurent Modolo, Jeff E Mold, Sophie Lambert-Lacroix, Franck Picard	35(20):4011-4019	2019	10.1093/bioinformatics/btz177
Stefan Hammer, Yann Ponty, Wei Wang, Sebastian Will	Fixed-Parameter Tractable Sampling for RNA Design with Multiple Target Structures	256-258	10.1007/978-3-319-89929-9	arXiv:1804.00841	10.4855	BMC Bioinformatics	Fixed-parameter tractable sampling for RNA design with multiple target structures	Stefan Hammer, Wei Wang, Sebastian Will and Yann Ponty	20(1):209	2019	10.1186/s12859-019-2784-7
Linh Huynh and Fereydoun Hormozdiari	Contribution of Structural Variation to Genome Structure: TAD Fusion Discovery and Ranking	259-260	10.1007/978-3-319-89929-9	bioRxiv 279356	10.1101	Genome Biology	TAD fusion score: discovery and ranking the contribution of deletions to genome structure	Linh Huynh and Fereydoun Hormozdiari	20(1):60	2019	10.1186/s13059-019-1666-7
Mikhail Kolmogorov, Jeffrey Yuan, Yu Lin, Pavel Pevzner	Assembly of Long Error-Prone Reads Using Repeat Graphs	261-262	10.1007/978-3-319-89929-9	bioRxiv 247148	10.1101	Nature Biotechnology	Assembly of long, error-prone reads using repeat graphs 	Mikhail Kolmogorov, Jeffrey Yuan, Yu Lin and Pavel A. Pevzner 	37(5):540–546	2019	10.1038/s41587-019-0072-8
Jason Fan, Anthony Cannistra, Inbar Fried, Tim Lim, Thomas Schaffner, Mark Crovella, Benjamin Hescott, Mark D.M. Leiserson	A Multi-species Functional Embedding Integrating Sequence and Network Structure	263-265	10.1007/978-3-319-89929-9	bioRxiv 229211	10.1101	Nucleic Acids Research	Functional protein representations from biological networks enable diverse cross-species inference 	Jason Fan , Anthony Cannistra , Inbar Fried , Tim Lim , Thomas Schaffner , Mark Crovella , Benjamin Hescott , Mark D M Leiserson	47(9):e51	2019	10.1093/nar/gkz132
Yunan Luo, Jianzhu Ma, Yang Liu, Qing Ye, Trey Ideker, Jian Peng	Deciphering Signaling Specificity with Deep Neural Networks	266-268	10.1007/978-3-319-89929-9	bioRxiv 288647	10.1101	NONE					
Salem Malikic, Katharina Jahn, Jack Kuipers, S. Cenk Sahinalp, Niko Beerenwinkel	Integrative Inference of Subclonal Tumour Evolution from Single-Cell and Bulk Sequencing Data	269-270	10.1007/978-3-319-89929-9	bioRxiv 234914	10.1101	Nature Communications	Integrative inference of subclonal tumour evolution from single-cell and bulk sequencing data	Salem Malikic, Katharina Jahn, Jack Kuipers, S. Cenk Sahinalp & Niko Beerenwinkel	10(1):2750	2019	10.1038/s41467-019-10737-5
