#Year	1998										
#Location	New York, NY, United States										
#Dates	March 22 - 25										
#Website	https://recomb.org/recomb1998										
#PC_Chair	Pavel Pevzner										
#Organization_Committee	Gary Benson (chair), Craig Benham, Martin Farach, Eugene Kolker										
#Keynotes	Ruben Abagyan, Charles Cantor, David Cox, Ron Davis, Klaus Gubernator, Joshua Lederberg, Michael Levitt, David Schwartz, John Yates										
#Proceedings_Type	ACM										
#Proceedings_Volume											
#Authors	RECOMB 1998 Title (Original)	ACM Pages	ACM Proceedings DOI	Preprint	Preprint DOI Prefix	Journal Name	Journal Version Title	Journal Authors	Journal Volume, Issue, and Pages	Journal Publication Year	Journal Version DOI
Bin Ma, Ming Li, Louxin Zhang	On reconstructing species trees from gene trees in term of duplications and losses	182–191	10.1145/279069.279113	NONE		NONE	NA	NA	NA	NA	NA
Laxmi Parida, Bud Mishra	Partitioning K clones: hardness results and practical algorithms for the K-populations problem	192–201	10.1145/279069.279114	NONE		Discrete Applied Mathematics	Partitioning single-molecule maps into multiple populations: algorithms and probabilistic analysis	Laxmi Parida, Bud Mishra	104(1-3): 203-227	2000	10.1016/s0166-218x(00)00191-8
David G. Politte, David R. Maffitt, David J. States	Estimation of allele frequencies from color-multiplexed electropherograms	202–206	10.1145/279069.279115	NONE		NONE	NA	NA	NA	NA	NA
Mireille Régnier	A unified approach to word statistics	207–213	10.1145/279069.279116	NONE		Discrete Applied Mathematics	A unified approach to word occurrence probabilities	Mireille Régnier	104(1-3): 259-280	2000	10.1016/s0166-218x(00)00195-5
Boris A. Reva, Alexei V. Finkelstein, Jeffrey Skolnick	A self-consistent field optimization approach to build energetically and geometrically correct lattice models of proteins	214–220	10.1145/279069.279117	NONE		NONE	NA	NA	NA	NA	NA
Isidore Rigoutsos, Aris Floratos	Motif discovery without alignment or enumeration	221–227	10.1145/279069.279118	NONE		NONE	NA	NA	NA	NA	NA
Emily Rocke, Martin Tompa	An algorithm for finding novel gapped motifs in DNA sequences	228–233	10.1145/279069.279119	NONE		NONE	NA	NA	NA	NA	NA
Marie-France Sagot, Eugene W. Myers	Identifying satellites in nucleic acid sequences	234–242	10.1145/279069.279120	NONE		Journal of Computational Biology	Identifying Satellites and Periodic Repetitions in Biological Sequences	Marie‐France Sagot, Eugene W. Myers	5(3): 539-553	1998	10.1089/cmb.1998.5.539
David Sankoff, Mathieu Blanchette	Multiple genome rearrangements	243–247	10.1145/279069.279122	NONE		NONE					
Fengzhu Sun	Modeling DNA shuffling	251–257	10.1145/279069.279126	NONE		Journal of Computational Biology	Modeling DNA Shuffling	Fengzhu Sun	6(1): 77-90	1999	10.1089/cmb.1999.6.77
Shamil R. Sunyaev, Igor V. Rodchnkov, Frank Eisenhaber, Eugene N. Kuznetsov	Analysis of the position dependent amino acid probabilities and its application to the search for remote homologues	258–265	10.1145/279069.279127	NONE		NONE	NA	NA	NA	NA	NA
Alexander Vologodskii	Maxwell demon and topology simplification by type II topoisomerases	266–269	10.1145/279069.279129	NONE		NONE					
Wynn L. Walker, David S. Goodsell, Elliot M. Landaw	The theoretical limits of DNA sequence discrimination of polyamides	270–275	10.1145/279069.279130	NONE		Proceedings of the National Academy of Sciences	The theoretical limits of DNA sequence discrimination by linked polyamides	Wynn L. Walker, Elliot M. Landaw, Richard E. Dickerson, David S. Goodsell	95(8): 4315-4320	1998	10.1073/pnas.95.8.4315
Thomas D. Wu, Trevor Hastie, Scott C. Schmidler, Douglas L. Brutlag	Regression analysis of multiple protein structures	276–284	10.1145/279069.279132	NONE		Journal of Computational Biology	Regression Analysis of Multiple Protein Structures	Thomas D. Wu, Scott C. Schmidler, Trevor Hastie, Douglas L. Brutlag	5(3): 585-595	1998	10.1089/cmb.1998.5.585
Ying Xu, Dong Xu, Edward C. Uberbacher	A new method for modeling and solving the protein fold recognition problem	285–292	10.1145/279069.279134	NONE		NONE	NA	NA	NA	NA	NA
