#Year	2016										
#Location	Santa Monica, CA, United States										
#Dates	April 17 - 21										
#Website	https://recomb.org/recomb2016/										
#PC_Chair	Mona Singh										
#Organization_Committee	Eleazar Eskin (chair)										
#Keynotes	Peter S. Kim, Rob Knight, Leonid Kruglyak, Phil Bradley, Teresa Przytycka, Karen Adelman										
#Proceedings_Type	LNCS										
#Proceedings_Volume	9649										
#Authors	RECOMB 2016 Paper Title (Original)	LNCS 9649 Pages	LNCS 9649 DOI	Preprint	Preprint DOI Prefix	Journal Name	Title in Journal Version	Journal Authors	Journal Volume, Issue, and Pages	Journal Publication Year	Journal Version DOI
Luis Antonio B. Kowada, Daniel Doerr, Simone Dantas, Jens Stoye	New Genome Similarity Measures Based on Conserved Gene Adjacencies	204-224	10.1007/978-3-319-31957-5_15	NONE		Journal of Computational Biology	New Genome Similarity Measures Based on Conserved Gene Adjacencies	Daniel Doerr, Luis Antonio B. Kowada, Francisco Eloi Soares de Araujo, Shachi Deshpande, Simone Dantas, Bernard M. E. Moret, Jens Stoye	24(6): 616-634	2017	10.1089/cmb.2017.0065
Constantinos Tsirogiannis and Brody Sandel	Fast Phylogenetic Biodiversity Computations Under a Non-uniform Random Distribution	225-238	10.1007/978-3-319-31957-5_16	NONE		NONE	NA	NA	NA	NA	NA
Joshua D. Welch, Ziqing Liu, Li Wang, Junjie Lu, Paul Lerou, Jeremy Purvis, Li Qian, Alexander Hartemink, Jan F. Prins	SLICER: Inferring Branched, Nonlinear Cellular Trajectories from Single Cell RNA-seq Data	239-240	10.1007/978-3-319-31957-5	bioRxiv 047845	10.1101	Genome Biology	SLICER: Inferring Branched, Nonlinear Cellular Trajectories from Single Cell RNA-seq Data	Joshua D. Welch, Ziqing Liu, Li Wang, Junjie Lu, Paul Lerou, Jeremy Purvis, Li Qian, Alexander Hartemink, Jan F. Prins	17(1): 106	2016	10.1186/s13059-016-0975-3
Chenchen Zou, Yuping Zhang, Zhengqing Ouyang	Multi-track Modeling for Genome-Scale Reconstruction of 3D Chromatin Structure from Hi-C Data	241-241	10.1007/978-3-319-31957-5	NONE		NONE	NA	NA	NA	NA	NA
Yael Steuerman and Irit Gat-Viks	Revealing the Genetic Basis of Immune Traits in the Absence of Experimental Immunophenotyping	242-243	10.1007/978-3-319-31957-5	NONE		NONE	NA	NA	NA	NA	NA
Emre Sefer and Ziv-Bar Joseph	Shall We Dense? Comparing Design Strategies for Time Series Expression Experiments	244-245	10.1007/978-3-319-31957-5	NONE		Cell Systems	Tradeoffs between Dense and Replicate Sampling Strategies for High-Throughput Time Series Experiments	Emre Sefer, Ziv Bar-Joseph	3(1): 35-42	2016	10.1016/j.cels.2016.06.007
											
Sean Simmons, Cenk Sahinalp, Bonnie Berger	Enabling Privacy Preserving GWAS in Heterogeneous Human Populations	246-247	10.1007/978-3-319-31957-5	arXiv:1604.04484	10.48550	Cell Systems	Enabling Privacy-Preserving GWASs in Heterogeneous Human Populations 	Sean Simmons, Cenk Sahinalp, Bonnie Berger	3(1):54-61	2016	10.1016/j.cels.2016.04.013
Tommy Hansen and Fabio Vandin	Finding Mutated Subnetworks Associated with Survival in Cancer	250-250	10.1007/978-3-319-31957-5	arXiv:1604.02467	10.48550	NONE	NA	NA	NA	NA	NA
Mohammed El-Kebir, Gryte Satas, Layla Oesper, Benjamin J. Raphael	Multi-State Perfect Phylogeny Mixture Deconvolution and Applications to Cancer Sequencing	251-251	10.1007/978-3-319-31957-5	arXiv:1604.02605	10.48550	Cell Systems	Inferring the Mutational History of a Tumor Using Multi-state Perfect Phylogeny Mixtures	Mohammed El-Kebir, Gryte Satas, Layla Oesper, Benjamin J. Raphael	3(1):43-53	2016	10.1016/j.cels.2016.07.004
Katharina Jahn, Jack Kuipers, Niko Beerenwinkel	Tree Inference for Single-Cell Data	252-252	10.1007/978-3-319-31957-5	bioRxiv 047795	10.1101	Genome Biology	Tree Inference for Single-Cell Data	Katharina Jahn, Jack Kuipers, Niko Beerenwinkel	17(1): 86	2016	10.1186/s13059-016-0936-x
Yuqing Yang, Ning Chen, Ting Chen	mLDM: A New Hierarchical Bayesian Statistical Model for Sparse Microbial Association Discovery	253-254	10.1007/978-3-319-31957-5	bioRxiv 042630	10.1101	NONE	NA	NA	NA	NA	NA
Yunan Luo, Jianyang Zeng, Bonnie Berger, Jian Peng	Low-Density Locality-Sensitive Hashing Boosts Metagenomic Binning	255-257	10.1007/978-3-319-31957-5	arXiv:1604.02699	10.48550	Bioinformatics	Metagenomic binning through low-density hashing	Yunan Luo, Yun William Yu, Jianyang Zeng, Bonnie Berger, Jian Peng	35(2): 219-226	2018	10.1093/bioinformatics/bty611
Sergey Nurk, Dmitry Meleshko, Anton Korobeynikov, Pavel Pevzner	metaSPAdes: A New Versatile de novo Metagenomics Assembler	258-258	10.1007/978-3-319-31957-5	arXiv:1604.03071	10.48550	NONE	NA	NA	NA	NA	NA
Shashank Singh, Sabrina Rashid, Saket Navlakha, Ziv Bar-Joseph	Distributed Gradient Descent in Bacterial Food Search	259-260	10.1007/978-3-319-31957-5	arXiv:1604.03052	10.48550	NONE	NA	NA	NA	NA	NA
Phuong Dao, Jan Hoinka, Yijie Wang, Mayumi Takahashi, Jiehua Zhou, Fabrizio Costa, John Rossi, John Burnett, Rolf Backofen, Teresa M. Przytycka	AptaTRACE: Elucidating Sequence-Structure Binding Motifs by Uncovering Selection Trends in HT-SELEX Experiments	261-262	10.1007/978-3-319-31957-5	bioRxiv 047357	10.1101	NONE	NA	NA	NA	NA	NA
John Wiedenhoeft, Eric Brugel, Alexander Schliep	Fast Bayesian Inference of Copy Number Variants Using Hidden Markov Models with Wavelet Compression	263-263	10.1007/978-3-319-31957-5	bioRxiv 023705	10.1101	PLoS Computational Biology	Fast Bayesian Inference of Copy Number Variants using Hidden Markov Models with Wavelet Compression	John Wiedenhoeft, Eric Brugel, Alexander Schliep	12(5): e1004871	2016	10.1371/journal.pcbi.1004871
Yang Li, Shiguo Zhou, David C. Schwartz, Jian Ma	Allele-Specific Quantification of Structural Variations in Cancer Genomes	264-264	10.1007/978-3-319-31957-5	bioRxiv 048207	10.1101	Cell Systems	Allele-Specific Quantification of Structural Variations in Cancer Genomes	Yang Li, Shiguo Zhou, David C. Schwartz, Jian Ma	3(1): 21-34	2016	10.1016/j.cels.2016.05.007
Yu Lin, Max W. Shen, Jeffrey Yuan, Mark Chaisson, Pavel P. Pevzner	Assembly of Long Error-Prone Reads Using de Bruijn Graphs	265-265	10.1007/978-3-319-31957-5	bioRxiv 048413	10.1101	Proceedings of the National Academy of Sciences	Assembly of Long Error-Prone Reads Using de Bruijn Graphs	Yu Lin, Jeffrey Yuan, Mikhail Kolmogorov, Max W. Shen, Mark Chaisson, Pavel A. Pevzner 	113(52): E8396-E8405 	2016	10.1073/pnas.1604560113
Andreas D.M. Gunawan, Bhaskar Das Gupta, Louxin Zhang	Locating a Tree in a Reticulation-Visible Network in Cubic Time	266-266	10.1007/978-3-319-31957-5	arXiv:1507.02119	10.48550	NONE	NA	NA	NA	NA	NA
Somaye Hashemifar, Qixing Huang, Jinbo Xu	Joint Alignment of Multiple Protein-Protein Interaction Networks via Convex Optimization	267-269	10.1007/978-3-319-31957-5	NONE		Journal of Computational Biology	Joint Alignment of Multiple Protein-Protein Interaction Networks via Convex Optimization	Somaye Hashemifar, Qixing Huang, Jinbo Xu	23(11): 903-911	2016	10.1089/cmb.2016.0025
Xiuli Ma, Guangyu Zhou, Jingjing Wang, Jian Peng, Jiawei Han	Complexes Detection in Biological Networks via Diversified Dense Subgraphs Mining	270-272	10.1007/978-3-319-31957-5	arXiv:1604.03244	10.48550	Journal of Computational Biology	Detection of Complexes in Biological Networks Through Diversified Dense Subgraph Mining	Xiuli Ma, Guangyu Zhou, Jingjing Wang, Jian Peng, Jiawei Han	24(9): 923-941	2017	10.1089/cmb.2017.0037
