#Year	2017										
#Location	Hong Kong										
#Dates	May 3 - 7										
#Website	https://recomb.org/recomb2017/										
#PC_Chair	S. Cenk Sahinalp										
#Organization_Committee	Siu Ming Yiu (chair), Kevin Yip, Alexander Schoenhuth, Paul Medvedev										
#Keynotes	Colin Collins, Joe Gray, Laxmi Parida, Ben Raphael, Michael Schnall-Levin, Jun Wang										
#Proceedings_Type	LNCS										
#Proceedings_Volume	10229										
#Authors	RECOMB 2017 Paper Title (Original)	LNCS 10229 Pages	LNCS 10229 DOI	Preprint	Preprint DOI Prefix	Journal Name	Title in Journal Version	Journal Authors	Journal Volume, Issue, and Pages	Journal Publication Year	Journal Version DOI
Brad Solomon and Carl Kingsford	Improved Search of Large Transcriptomic Sequencing Databases Using Split Sequence Bloom Trees	257-271	10.1007/978-3-319-56970-3_16	bioRxiv 086561	10.1101	Journal of Computational Biology	Improved Search of Large Transcriptomic Sequencing Databases Using Split Sequence Bloom Trees	Brad Solomon and Carl Kingsford	25(7): 755-765 	2018	10.1089/cmb.2017.0265
Chen Sun, Robert S. Harris, Rayan Chikhi, Paul Medvedev	AllSome Sequence Bloom Trees	272-286	10.1007/978-3-319-56970-3_17	bioRxiv 090464	10.1101	Journal of Computational Biology	AllSome Sequence Bloom Trees	Chen Sun, Robert S. Harris, Rayan Chikhi, Paul Medvedev	25(5): 467-479	2018	10.1089/cmb.2017.0258
Xiaoqian Wang, Jingwen Yan, Xiaohui Yao, Sungeun Kim, Kwangsik Nho, Shannon L. Risacher, Andrew J. Saykin, Li Shen, Heng Huang	Longitudinal Genotype-Phenotype Association Study via Temporal Structure Auto-learning Predictive Model	287-302	10.1007/978-3-319-56970-3_18	NONE		Journal of Computational Biology	Longitudinal Genotype-Phenotype Association Study through Temporal Structure Auto-Learning Predictive Model	Xiaoqian Wang, Jingwen Yan, Xiaohui Yao, Sungeun Kim, Kwangsik Nho, Shannon L. Risacher, Andrew J. Saykin, Li Shen, Heng Huang	25(7): 809-824	2018	10.1089/cmb.2018.0008
Yue Wu, Farhad Hormozdiari, Jong Wha J. Joo, Eleazar Eskin	Improving Imputation Accuracy by Inferring Causal Variants in Genetic Studies	303-317	10.1007/978-3-319-56970-3_19	NONE		Journal of Computational Biology	Improving Imputation Accuracy by Inferring Causal Variants in Genetic Studies	Yue Wu, Farhad Hormozdiari, Jong Wha J. Joo, Eleazar Eskin	26(11): 1203-1213	2018	10.1089/cmb.2018.0139
Simone Zaccaria, Mohammed El-Kebir, Gunnar W. Klau, Benjamin J. Raphael	The Copy-Number Tree Mixture Deconvolution Problem and Applications to Multi-sample Bulk Sequencing Tumor Data	318-335	10.1007/978-3-319-56970-3_20	NONE		NONE					
Jingkang Zhao, Dongshunyi Li, Jungkyun Seo, Andrew S. Allen, Raluca Gordân	Quantifying the Impact of Non-coding Variants on Transcription Factor-DNA Binding	336-352	10.1007/978-3-319-56970-3_21	NONE		NONE					
Soyeon Ahn and Haris Vikalo	aBayesQR: A Bayesian Method for Reconstruction of Viral Populations Characterized by Low Diversity	353-369	10.1007/978-3-319-56970-3_22	bioRxiv 103630	10.1101	Journal of Computational Biology	aBayesQR: A Bayesian Method for Reconstruction of Viral Populations Characterized by Low Diversity	Soyeon Ahn, Haris Vikalo	25(7): 637-648	2018	10.1089/cmb.2017.0249
Phuong Dao, Yoo-Ah Kim, Sanna Madan, Roded Sharan, Teresa M. Przytycka	BeWith: A Between-Within Method for Module Discovery in Cancer using Integrated Analysis of Mutual Exclusivity, Co-occurrence and Functional Interactions	370-371	10.1007/978-3-319-56970-3	arXiv:1704.08889	10.48550	PLoS Computational Biology	BeWith: A Between-Within method to discover relationships between cancer modules via integrated analysis of mutual exclusivity, co-occurrence and functional interactions	Phuong Dao , Yoo-Ah Kim , Damian Wojtowicz, Sanna Madan, Roded Sharan , Teresa M. Przytycka 	13(10): e1005695	2017	10.1371/journal.pcbi.1005695
Yuchun Guo, Kevin Tian, Haoyang Zeng, David K. Gifford	K-mer Set Memory (KSM) Motif Representation Enables Accurate Prediction of the Impact of Regulatory Variants	372-374	10.1007/978-3-319-56970-3	bioRxiv 130815	10.1101	Genome Research	A novel k-mer set memory (KSM) motif representation improves regulatory variant prediction	Yuchun Guo, Kevin Tian, Haoyang Zeng, Xiaoyun Guo, David Kenneth Gifford	28(6):891-900	2018	10.1101/gr.226852.117
Borislav H. Hristov and Mona Singh	Network-Based Coverage of Mutational Profiles Reveals Cancer Genes	375-376	10.1007/978-3-319-56970-3	arXiv:1704.08544	10.48550	Cell systems	Network-Based Coverage of Mutational Profiles Reveals Cancer Genes	Borislav H. Hristov and Mona Singh	5(3): 221-229.e4	2017	10.1016/j.cels.2017.09.003
Linh Huynh and Fereydoun Hormozdiari	Ultra-Accurate Complex Disorder Prediction: Case Study of Neurodevelopmental Disorders	377-378	10.1007/978-3-319-56970-3	bioRxiv 129775	10.1101	Genetics	Combinatorial Approach for Complex Disorder Prediction: Case Study of Neurodevelopmental Disorder	Linh Huynh and Fereydoun Hormozdiari	210(4): 1483-1495	2018	10.1534/genetics.118.301280
Michael K.K. Leung, Andrew Delong, Brendan J. Frey	Inference of the Human Polyadenylation Code	379-379	10.1007/978-3-319-56970-3	bioRxiv 130591	10.1101	Bioinformatics 	Inference of the human polyadenylation code	Michael K.K. Leung, Andrew Delong, Brendan J. Frey	34(17): 2889-2898 	2018	10.1093/BIOINFORMATICS/BTY211
Zhen Li, Sheng Wang, Yizhou Yu, Jinbo Xu	Folding Membrane Proteins by Deep Transfer learning	380-382	10.1007/978-3-319-56970-3	bioRxiv 181628	10.1101	Cell systems	Folding Membrane Proteins by Deep Transfer Learning	Sheng Wang, Zhen Li, Yizhou Yu, Jinbo Xu	5(3): 202-211.e3	2017	10.1016/j.cels.2017.09.001
Yunan Luo, Xinbin Zhao, Jingtian Zhou, Jinling Yang, Yanging Zhang, Wenhua Kuang, Jian Peng, Ligong Chen, Jianyang Zeng	A Network Integration Approach for Drug-Target Interaction Prediction and Computational Drug Repositioning from Heterogeneous Information	383-384	10.1007/978-3-319-56970-3	bioRxiv 100305	10.1101	Nature Communications	A network integration approach for drug-target interaction prediction and computational drug repositioning from heterogeneous information	Yunan Luo, Xinbin Zhao, Jingtian Zhou, Jinglin Yang, Yanqing Zhang, Wenhua Kuang, Jian Peng, Ligong Chen,Jianyang Zeng	8: 573	2017	10.1038/s41467-017-00680-8
Dariusz Matlak and Ewa Szczurek	Epistasis in Genomic and Survival Data of Cancer Patients	385-386	10.1007/978-3-319-56970-3	NONE		PLoS Computational Biology	Epistasis in genomic and survival data of cancer patients	Dariusz Matlak and Ewa Szczurek	13(7) 	2017	10.1371/journal.pcbi.1005626
Ardalan Naseri, Xiaoming Liu, Shaojie Zhang, Degui Zhi	Ultra-Fast Identity by Descent Detection in Biobank-Scale Cohorts Using Positional Burrows-Wheeler Transform	387-388	10.1007/978-3-319-56970-3	bioRxiv 103325	10.1101	NONE					
Yaron Orenstein, Ryan Kim, Polly Fordyce, Bonnie Berger	Joker de Bruijn: Sequence Libraries to Cover All k-mers Using Joker Characters	389-390	10.1007/978-3-319-56970-3	NONE		Journal of Computational Biology	Joker de Bruijn: Covering k-Mers Using Joker Characters	Yaron Orenstein, Yun William Yu, Bonnie Berger	25(11): 1171-1178	2018	10.1089/cmb.2018.0032
Victoria Popic, Volodymyr Kuleshov, Michael Snyder, Serafim Batzoglou	GATTACA: Lightweight Metagenomic Binning Using Kmer Counting	391-392	10.1007/978-3-319-56970-3	bioRxiv 130997	10.1101	Journal of Computational Biology	Fast Metagenomic Binning via Hashing and Bayesian Clustering	Victoria Popic, Volodymyr Kuleshov, Michael Snyder, Serafim Batzoglou	25(7): 677-688	2018	10.1089/cmb.2017.0250
Shubhanshu Shekhar, Sebastien Roch, Siavash Mirarab	Species Tree Estimation Using ASTRAL: How Many Genes Are Enough?	393-395	10.1007/978-3-319-56970-3	arXiv:1704.06831	10.48550	IEEE/ACM Transaction Computional Biology Bioinformatics 	Species Tree Estimation Using ASTRAL: How Many Genes Are Enough?	Shubhanshu Shekhar, Sebastien Roch, Siavash Mirarab	15(5): 1738-1747 	2018	10.1109/TCBB.2017.2757930
Alexander Shlemov, Sergey Bankevich, Andrey Bzikadze, Yana Safonova, Pavel A. Pevzner	Reconstructing Antibody Repertoires from Error-Prone Immunosequencing Datasets	396-397	10.1007/978-3-319-56970-3	arXiv:1704.07184	10.48550	The Journal of Immunology	Reconstructing Antibody Repertoires from Error-Prone Immunosequencing Reads 	Alexander Shlemov , Sergey Bankevich , Andrey Bzikadze , Maria A Turchaninova , Yana Safonova , Pavel A Pevzner	199(9): 3369-3380	2017	10.4049/jimmunol.1700485
Yijie Wang, Dong-Yeon Cho, Hangnoh Lee, Brian Oliver, Teresa M. Przytycka	NetREX: Network Rewiring Using EXpression - Towards Context Specific Regulatory Networks	398-399	10.1007/978-3-319-56970-3	arXiv:1704.05343	10.48550	NONE					
Joshua D. Welch, Alexander Hartemink, Jan F. Prins	E Pluribus Unum: United States of Single Cells	400-401	10.1007/978-3-319-56970-3	NONE		NONE					
Sai Zhang, Hailin Hu, Jingtian Zhou, Xuan He, Tao Jiang, Jianyang Zeng	ROSE: A Deep Learning Based Framework for Predicting Ribosome Stalling	402-404	10.1007/978-3-319-56970-3	bioRxiv 067108	10.1101	NONE					
