#Year	2014										
#Location	Pittsburgh, PA, United States										
#Dates	April 2 - 5										
#Website	https://recomb.org/recomb2014/										
#PC_Chair	Roded Sharan										
#Organization_Committee	Panayiotis (Takis) Benos (co-chair), Russell Schwartz (co-chair)										
#Keynotes	Ian T. Baldwin, Atul Butte, JJ Collins, Trey Ideker, Tom Mitchell, Sarah A. Tishkoff										
#Proceedings_Type	LNCS										
#Proceedings_Volume	8394										
#Authors	RECOMB 2014 Paper Title (Original)	LNCS 8394 Pages	LNCS 8394 DOI	Preprint	Preprint DOI Prefix	Journal Name	Title in Journal Version	Journal Authors	Journal Volume, Issue, and Pages	Journal Publication Year	Journal Version DOI
Arne C. Müller, Frank J. Bruggeman, Brett G. Olivier, Leen Stougie	Fast Flux Module Detection Using Matroid Theory	192-206	10.1007/978-3-319-05269-4_16	NONE		Journal of Computational Biology	Fast Flux Module Detection Using Matroid Theory	Arne C. Reimers, Frank J. Bruggeman, Brett G. Olivier, Leen Stougie	22(5): 414-424	2015	10.1089/cmb.2014.0141
Ngan Nguyen, Glenn Hickey, Daniel R. Zerbino, Brian Raney, Dent Earl, Joel Armstrong, David Haussler, Benedict Paten	Building a Pangenome Reference for a Population	207-221	10.1007/978-3-319-05269-4_17	NONE		Journal of Computational Biology	Building a Pan-Genome Reference for a Population	Ngan Nguyen, Glenn Hickey, Daniel R. Zerbino, Brian J. Raney, Dent Earl, Joel Armstrong, W. James Kent, David Haussler, Benedict Paten	22(5): 387-401	2015	10.1089/cmb.2014.0146
Keith Noto, Carla Brodley, Saeed Majidi, Diana W. Bianchi, Donna K. Slonim	CSAX: Characterizing Systematic Anomalies in eXpression Data	222-236	10.1007/978-3-319-05269-4_18	NONE		Journal of Computational Biology	CSAX: Characterizing Systematic Anomalies in eXpression Data	Keith Noto, Saeed Majidi, Andrea G. Edlow, Heather C. Wick, Diana W. Bianchi, Donna K. Slonim	22(5): 402-413	2015	10.1089/cmb.2014.0155
Murray Patterson, Tobias Marschall, Nadia Pisanti, Leo van Iersel, Leen Stougie, Gunnar W. Klau, Alexander Schönhuth	WHATSHAP: Haplotype Assembly for Future-Generation Sequencing Reads	237-249	10.1007/978-3-319-05269-4_19	bioRxiv 085050	10.1101	Journal of Computational Biology	WhatsHap: Weighted Haplotype Assembly for Future-Generation Sequencing Reads	Murray Patterson, Tobias Marschall, Nadia Pisanti, Leo van Iersel, Leen Stougie, Gunnar W. Klau, Alexander Schönhuth	22(6): 498-509	2015	10.1089/cmb.2014.0157
Benjamin J. Raphael and Fabio Vandin	Simultaneous Inference of Cancer Pathways and Tumor Progression from Cross-Sectional Mutation Data	250-264	10.1007/978-3-319-05269-4_20	NONE		Journal of Computational Biology	Simultaneous Inference of Cancer Pathways and Tumor Progression from Cross-Sectional Mutation Data	Benjamin J. Raphael, Fabio Vandin	22(6): 510-527	2015	10.1089/cmb.2014.0161
Yana Safonova, Anton Bankevich, Pavel A. Pevzner	DIPSPADES: Assembler for Highly Polymorphic Diploid Genomes	265-279	10.1007/978-3-319-05269-4_21	NONE		Journal of Computational Biology	dipSPAdes: Assembler for Highly Polymorphic Diploid Genomes	Yana Safonova, Anton Bankevich, Pavel A. Pevzner	22(6): 528-545	2015	10.1089/cmb.2014.0153
Mingfu Shao, Yu Lin, Bernard Moret	An Exact Algorithm to Compute the DCJ Distance for Genomes with Duplicate Genes	280-292	10.1007/978-3-319-05269-4_22	NONE		Journal of Computational Biology	An Exact Algorithm to Compute the Double-Cut-and-Join Distance for Genomes with Duplicate Genes	Mingfu Shao, Yu Lin, Bernard M. E. Moret	22(5): 425-435	2014	10.1089/cmb.2014.0096
Raunak Shrestha, Ermin Hodzic, Jake Yeung, Kendric Wang, Thomas Sauerwald, Phuong Dao, Shawn Anderson, Himisha Beltran, Mark A. Rubin, Colin C. Collins, Gholamreza Haffari, S. Cenk Sahinalp	HIT'nDRIVE: Multidriver -Gene Prioritization Based on Hitting Time	293-306	10.1007/978-3-319-05269-4_23	NONE		Genome Research	HIT'nDRIVE: patient-specific multidriver gene prioritization for precision oncology	Raunak Shrestha, Ermin Hodzic, Thomas Sauerwald, Phuong Dao, Kendric Wang, Jake Yeung, Shawn Anderson, Fabio Vandin, Gholamreza Haffari, Colin C. Collins, S. Cenk Sahinalp	27(9): 1573-1588	2017	10.1101/gr.221218.117
Ewa Szczurek and Niko Beerenwinkel	Modeling Mutual Exclusivity of Cancer Mutations	307-308	10.1007/978-3-319-05269-4_24	NONE		PLoS Computational Biology	Modeling Mutual Exclusivity of Cancer Mutations	Ewa Szczurek, Niko Beerenwinkel	10(3): e1003503	2014	10.1371/journal.pcbi.1003503
Armin Töpfer, Tobias Marschall, Rowena A. Bull, Fabio Luciani, Alexander Schönhuth, Niko Beerenwinkel	Viral Quasispecies Assembly via Maximal Clique Enumeration	309-310	10.1007/978-3-319-05269-4_25	NONE		PLoS Computational Biology	Viral Quasispecies Assembly via Maximal Clique Enumeration	Armin Töpfer, Tobias Marschall, Rowena A. Bull, Fabio Luciani, Alexander Schönhuth, Niko Beerenwinkel	10(3): e1003515	2014	10.1371/journal.pcbi.1003515
Hua Wang, Heng Huang, Chris Ding	Correlated Protein Function Prediction via Maximization of Data-Knowledge Consistency	311-325	10.1007/978-3-319-05269-4_26	NONE		Journal of Computational Biology	Correlated Protein Function Prediction via Maximization of Data-Knowledge Consistency	Hua Wang, Heng Huang, Chris Ding	22(6): 546-562	2015	10.1089/cmb.2014.0172
Rui Wang and Scott C. Schmidler	Bayesian Multiple Protein Structure Alignment	326-339	10.1007/978-3-319-05269-4_27	NONE		NONE					
Zhanyong Wang, Jae-Hoon Sul, Sagi Snir, Jose A. Lozano, Eleazar Eskin	Gene-Gene Interactions Detection Using a Two-Stage Model	340-355	10.1007/978-3-319-05269-4_28	NONE		Journal of Computational Biology	Gene–Gene Interactions Detection Using a Two-stage Model	Zhanyong Wang, Jae Hoon Sul, Sagi Snir, José A. Lozano, Eleazar Eskin	22(6): 563-576	2015	10.1089/cmb.2014.0163
Shutan Xu, Shuxue Zou, Lincong Wang	A Geometric Clustering Algorithm and Its Applications to Structural Data	356-370	10.1007/978-3-319-05269-4_29	NONE		Journal of Computational Biology	A Geometric Clustering Algorithm with Applications to Structural Data	Shutan Xu, Shuxue Zou, Lincong Wang	22(5): 436-450	2014	10.1089/cmb.2014.0162
Wen-Yun Yang, Farhad Hormozdiari, Eleazar Eskin, Bogdan Pasaniuc	A Spatial-Aware Haplotype Copying Model with Applications to Genotype Imputation	371-384	10.1007/978-3-319-05269-4_30	NONE		Journal of Computational Biology	A Spatial Haplotype Copying Model with Applications to Genotype Imputation	Wen-Yun Yang, Farhad Hormozdiari, Eleazar Eskin, Bogdan Pasaniuc	22(5): 451-462	2014	10.1089/cmb.2014.0151
Y. William Yu, Deniz Yorukoglu, Bonnie Berger	Traversing the k-mer Landscape of NGS Read Datasets for Quality Score Sparsification	385-399	10.1007/978-3-319-05269-4_31	NONE		NONE					
Shay Zakov and Vineet Bafna	Reconstructing Breakage Fusion Bridge Architectures Using Noisy Copy Numbers	400-417	10.1007/978-3-319-05269-4_32	NONE		Journal of Computational Biology	Reconstructing Breakage Fusion Bridge Architectures Using Noisy Copy Numbers	Shay Zakov, Vineet Bafna	22(6): 577-594	2015	10.1089/cmb.2014.0166
Yu Zheng and Louxin Zhang	Reconciliation with Non-binary Gene Trees Revisited	418-432	10.1007/978-3-319-05269-4_33	NONE		NONE					
Jianling Zhong, Todd Wasson, Alexander J. Hartemink	Learning Protein-DNA Interaction Landscapes by Integrating Experimental Data through Computational Models	433-447	10.1007/978-3-319-05269-4_34	NONE		Bioinformatics	Learning protein–DNA interaction landscapes by integrating experimental data through computational models	Jianling Zhong, Todd Wasson, Alexander J. Hartemink	30(20): 2868-2874	2014	10.1093/bioinformatics/btu408
Marinka Žitnik and Blaž Zupan	Imputation of Quantitative Genetic Interactions in Epistatic MAPS by Interaction Propagation Matrix Completion	448-462	10.1007/978-3-319-05269-4_35	NONE		NONE					
