#Year	2010										
#Location	Lisbon, Portugal										
#Dates	August 12 - 15										
#Website	https://recomb.org/recomb2010										
#PC_Chair	Bonnie Berger										
#Organization_Committee	Arlindo Oliveira (co-chair), Ana Teresa Freitas (co-chair), João Carriço, Alexandre Francisco, Paulo Fonseca, José Pereira Leal, Sara Madeira, Luís Rocha, Sara Silva, Susana Vinga										
#Keynotes	Cecilia Arraiano, David Bartel, Isaac Kohane, Phil Kapranov, Norbert Perrimon, Mona Singh										
#Proceedings_Type	LNCS										
#Proceedings_Volume	6044										
#Authors	RECOMB 2010 Paper Title (Original)	LNCS 6044 Pages	LNCS 6044 DOI	Preprint	Preprint DOI Prefix	Journal Name	Title in Journal Version	Journal Authors	Journal Volume, Issue, and Pages	Journal Publication Year	Journal Version DOI
David R. Kelley and Carl Kingsford	Extracting Between-Pathway Models from E-MAP Interactions Using Expected Graph Compression	248-262	10.1007/978-3-642-12683-3_16	NONE		Journal of Computational Biology	Extracting Between-Pathway Models from E-MAP Interactions Using Expected Graph Compression	David R. Kelley, Carl Kingsford	18(3): 379-390	2011	10.1089/cmb.2010.0268
Yoo-Ah Kim, Stefan Wuchty, Teresa M. Przytycka	Simultaneous Identification of Causal Genes and Dys-Regulated Pathways in Complex Diseases	263-280	10.1007/978-3-642-12683-3_17	NONE		NONE					
Geoffrey Koh, David Hsu, P.S. Thiagarajan	Incremental Signaling Pathway Modeling by Data Integration	281-296	10.1007/978-3-642-12683-3_18	NONE		NONE	NA	NA	NA	NA	NA
Adam Kowalczyk, Justin Bedo, Thomas Conway, Bryan Beresford-Smith	The Poisson Margin Test for Normalisation Free Significance Analysis of NGS Data	297-309	10.1007/978-3-642-12683-3_19	NONE		Journal of Computational Biology	The Poisson Margin Test for Normalization-Free Significance Analysis of NGS Data	Adam Kowalczyk, Justin Bedő, Thomas Conway, Bryan Beresford‐Smith	18(3): 391-400	2011	10.1089/cmb.2010.0272
Christos Kozanitis, Chris Saunders, Semyon Kruglyak, Vineet Bafna, George Varghese	Compressing Genomic Sequence Fragments Using SlimGene	310-324	10.1007/978-3-642-12683-3_20	NONE		Journal of Computational Biology	Compressing Genomic Sequence Fragments Using SlimG ene	Christos Kozanitis, Christopher T. Saunders, Semyon Kruglyak, Vineet Bafna, Varghese George	18(3): 401-413	2011	10.1089/cmb.2010.0253
Fumei Lam, Charles H. Langley, Yun S. Song	On the Genealogy of Asexual Diploids	325-340	10.1007/978-3-642-12683-3_21	NONE		Journal of Computational Biology	On the Genealogy of Asexual Diploids	Fumei Lam, Charles H. Langley, Yun S. Song	18(3): 415-428	2011	10.1089/cmb.2010.0270
Jonathan Laserson, Vladimir Jojic, Daphne Koller	Genovo: De Novo Assembly for Metagenomes	341-356	10.1007/978-3-642-12683-3_22	NONE		Journal of Computational Biology	Genovo: De Novo Assembly for Metagenomes	Jonathan Laserson, Vladimir Jojic, Daphne Koller	18(3): 429-443	2011	10.1089/cmb.2010.0244
Seunghak Lee, Eric Xing, Michael Brudno	MOGUL: Detecting Common Insertions and Deletions in a Population	357-368	10.1007/978-3-642-12683-3_23	NONE		NONE	NA	NA	NA	NA	NA
Navodit Misra, Guy Blelloch, R. Ravi, Russell Schwartz	Generalized Buneman Pruning for Inferring the Most Parsimonious Multi-state Phylogeny	369-383	10.1007/978-3-642-12683-3_24	NONE		Journal of Computational Biology	Generalized Buneman Pruning for Inferring the Most Parsimonious Multi-State Phylogeny	Navodit Misra, Guy E. Blelloch, R. Ravi, Russell Schwartz	18(3): 445-457	2011	10.1089/cmb.2010.0254
Laurent Noé, Marta Gîrdea, Gregory Kucherov	Seed Design Framework for Mapping SOLID Reads	384-396	10.1007/978-3-642-12683-3_25	NONE		NONE	NA	NA	NA	NA	NA
