#Year	2013										
#Location	Beijing, China										
#Dates	April 7 - 10										
#Website	https://recomb.org/recomb2013/										
#PC_Chair	Fengzhu Sun										
#Organization_Committee	Xuegong Zhang (co-chair), Minghua Deng (co-chair), Rui Jiang (co-chair), Jin Gu, Jingdong Han, Ruiqiang Li, Xuan Li, Yixue Li, Jingchu Luo, Geng Tian, Xiujie Wang, Peiheng Zhang										
#Keynotes	Scott Fraser, Takashi Gojobori, Deborah Nickerson, Nadia A. Rosenthal, Chung-I Wu, Sunny Xie										
#Proceedings_Type	LNCS										
#Proceedings_Volume	7821										
#Authors	RECOMB 2013 Paper Title (Original)	LNCS 7821 Pages	LNCS 7821 DOI	Preprint	Preprint DOI Prefix	Journal Name	Title in Journal Version	Journal Authors	Journal Volume, Issue, and Pages	Journal Publication Year	Journal Version DOI
Layla Oesper, Ahmad Mahmoody, Benjamin J. Raphael	Inferring Intra-tumor Heterogeneity from High-Throughput DNA Sequencing Data	171-172	10.1007/978-3-642-37195-0_14	NONE		Genome Biology	THetA: inferring intra-tumor heterogeneity from high-throughput DNA sequencing data	Layla Oesper, Ahmad Mahmoody, Benjamin J. Raphael	14(7): R80	2013	10.1186/gb-2013-14-7-r80
Kriti Puniyani and Eric P. Xing	NP-MuScL: Unsupervised Global Prediction of Interaction Networks from Multiple Data Sources	173-185	10.1007/978-3-642-37195-0_15	NONE		Journal of Computational Biology	NP-MuScL: Unsupervised Global Prediction of Interaction Networks from Multiple Data Sources	Kriti Puniyani, Eric P. Xing	20(11): 892-904	2013	10.1089/cmb.2013.0093
Christopher Reeder and David Gifford	High Resolution Modeling of Chromatin Interactions	186-198	10.1007/978-3-642-37195-0_16	NONE		NONE	NA	NA	NA	NA	NA
Vladimir Reinharz, Yann Ponty, Jérôme Waldispühl	A Linear Inside-Outside Algorithm for Correcting Sequencing Errors in Structured RNAs	199-211	10.1007/978-3-642-37195-0_17	NONE		Journal of Computational Biology	Using Structural and Evolutionary Information to Detect and Correct Pyrosequencing Errors in Noncoding RNAs	Vladimir Reinharz, Yann Ponty, Jérôme Waldispühl	20(11): 905-919	2013	10.1089/cmb.2013.0085
Jesse M. Rodriguez, Serafim Batzoglou, Sivan Bercovici	An Accurate Method for Inferring Relatedness in Large Datasets of Unphased Genotypes via an Embedded Likelihood-Ratio Test	212-229	10.1007/978-3-642-37195-0_18	NONE		NONE	NA	NA	NA	NA	NA
Roy Ronen, Nitin Udpa, Eran Halperin, Vineet Bafna	Learning Natural Selection from the Site Frequency Spectrum	230-233	10.1007/978-3-642-37195-0_19	NONE		Genetics	Learning Natural Selection from the Site Frequency Spectrum	Roy Ronen, Nitin Udpa, Eran Halperin, Vineet Bafna	195(1): 181-193	2013	10.1534/genetics.113.152587
Mohammad Javad Sadeh, Giusi Moffa, Rainer Spang	Considering Unknown Unknowns - Reconstruction of Non-confoundable Causal Relations in Biological Networks	234-248	10.1007/978-3-642-37195-0_20	NONE		Journal of Computational Biology	Considering Unknown Unknowns: Reconstruction of Nonconfoundable Causal Relations in Biological Networks	Mohammad J. Sadeh, Giusi Moffa, Rainer Spang	20(11): 920-932	2013	10.1089/cmb.2013.0119
Raheleh Salari, Syed Shayon Saleh, Dorna Kashef-Haghighi, David Khavari, Daniel E. Newburger, Robert B. West, Arend Sidow, Serafim Batzoglou	Inference of Tumor Phylogenies with Improved Somatic Mutation Discovery	249-263	10.1007/978-3-642-37195-0_21	NONE		Journal of Computational Biology	Inference of Tumor Phylogenies with Improved Somatic Mutation Discovery	Raheleh Salari, Syed Shayon Saleh, Dorna Kashef-Haghighi, David Khavari, Daniel E. Newburger, Robert B. West, Arend Sidow, Serafim Batzoglou	20(11): 933-944	2013	10.1089/cmb.2013.0106
Evan Senter, Saad Sheikh, Ivan Dotu, Yann Ponty, Peter Clote	Abstract: Using the Fast Fourier Transform to Accelerate the Computational Search for RNA Conformational Switches	264-265	10.1007/978-3-642-37195-0_22	NONE		PLoS ONE	Using the Fast Fourier Transform to Accelerate the Computational Search for RNA Conformational Switches	Evan Senter, Saad Sheikh, Iván Dotú, Yann Ponty, Peter Clote	7(12): e50506	2012	10.1371/journal.pone.0050506
Michael Stevens, Jeffrey B. Cheng, Mingchao Xie, Joseph F. Costello, Ting Wang	MethylCRF, an Algorithm for Estimating Absolute Methylation Levels at Single CpG Resolution from Methylation Enrichment and Restriction Enzyme Sequencing Methods	266-268	10.1007/978-3-642-37195-0_23	NONE		Genome Research	Estimating absolute methylation levels at single-CpG resolution from methylation enrichment and restriction enzyme sequencing methods	Michael Stevens, Jeffrey B. Cheng, Daofeng Li, Mingchao Xie, Chibo Hong, Cécile L. Maire, Keith L. Ligon, Martin Hirst, Marco A. Marra, J Costello, Ting Wang	23(9): 1541-1553	2013	10.1101/gr.152231.112
Ngoc Hieu Tran, Kwok Pui Choi, Louxin Zhang	Counting Motifs in the Entire Biological Network from Noisy and Incomplete Data	269-270	10.1007/978-3-642-37195-0_24	NONE		Nature Communications	Counting motifs in the human interactome	Ngoc Hieu Tran, Kwok Pui Choi, Louxin Zhang	4: 2241	2013	10.1038/ncomms3241
Chittaranjan Tripathy, Anthony K. Yan, Pei Zhou, Bruce Randall Donald	Extracting Structural Information from Residual Chemical Shift Anisotropy: Analytic Solutions for Peptide Plane Orientations and Applications to Determine Protein Structure	271-284	10.1007/978-3-642-37195-0_25	NONE		NONE	NA	NA	NA	NA	NA
Fabio Vandin, Alexandra Papoutsaki, Benjamin J. Raphael, Eli Upfal	Genome-Wide Survival Analysis of Somatic Mutations in Cancer	285-286	10.1007/978-3-642-37195-0_26	NONE		NONE	NA	NA	NA	NA	NA
Mingxun Wang and Nuno Bandeira	Spectral Library Generating Function for Assessing Spectrum-Spectrum Match Significance	287-288	10.1007/978-3-642-37195-0_27	NONE		Journal of Proteome Research	Spectral Library Generating Function for Assessing Spectrum-Spectrum Match Significance	Mingxun Wang, Nuno Bandeira	12(9): 3944-3951	2013	10.1021/pr400230p
Sebastian Will, Christina Schmiedl, Milad Miladi, Mathias Möhl, Rolf Backofen	SPARSE: Quadratic Time Simultaneous Alignment and Folding of RNAs without Sequence-Based Heuristics	289-290	10.1007/978-3-642-37195-0_28	NONE		Bioinformatics	SPARSE: quadratic time simultaneous alignment and folding of RNAs without sequence-based heuristics	Sebastian Will, Christina Otto, Milad Miladi, Mathias Möhl, Rolf Backofen	31(15): 2489-2496	2015	10.1093/bioinformatics/btv185
Yufeng Wu	An Algorithm for Constructing Parsimonious Hybridization Networks with Multiple Phylogenetic Trees	291-303	10.1007/978-3-642-37195-0_29	NONE		Journal of Computational Biology	An Algorithm for Constructing Parsimonious Hybridization Networks with Multiple Phylogenetic Trees	Yufeng Wu	20(10): 792-804	2013	10.1089/cmb.2013.0072
Dong Xu, Hua Li, Yang Zhang	Fast and Accurate Calculation of Protein Depth by Euclidean Distance Transform	304-316	10.1007/978-3-642-37195-0_30	NONE		Journal of Computational Biology	Protein Depth Calculation and the Use for Improving Accuracy of Protein Fold Recognition	Dong Xu, Hua Li, Yang Zhang	20(10): 805-816	2013	10.1089/cmb.2013.0071
ZhiZhuo Zhang, Guoliang Li, Kim-Chuan Toh, Wing-Kin Sung	Inference of Spatial Organizations of Chromosomes Using Semi-definite Embedding Approach and Hi-C Data	317-332	10.1007/978-3-642-37195-0_31	NONE		Journal of Computational Biology	3D Chromosome Modeling with Semi-Definite Programming and Hi-C Data	Zhizhuo Zhang, Guoliang Li, Kim-Chuan Toh, Wing‐Kin Sung	20(11): 831-846	2013	10.1089/cmb.2013.0076
Lei Deng, Jihong Guan, Xiaoming Wei, Yuan Yi, Shuigeng Zhou	Boosting Prediction Performance of Protein-Protein Interaction Hot Spots by Using Structural Neighborhood Properties	333-344	10.1007/978-3-642-37195-0_32	NONE		Journal of Computational Biology	Boosting Prediction Performance of Protein–Protein Interaction Hot Spots by Using Structural Neighborhood Properties	Lei Deng, Jihong Guan, Xiaoming Wei, Yuan Yi, Qiangfeng Cliff Zhang, Shuigeng Zhou	20(11): 878-891	2013	10.1089/cmb.2013.0083
