#Year	2008										
#Location	Singapore										
#Dates	March 30 - April 2										
#Website	https://recomb.org/recomb2008										
#PC_Chair	Martin Vingron										
#Organization_Committee	Limsoon Wong (chair), Agnes Ang, Lay Khim Chng, Kwok Pui Choi, Alexia Leong, Hon Wai Leong, Wai Kin Leong, Stefanie Ng, Wing-Kin Sung, Martti Tammi, Siang Yong Yap, Xin Chen, Chee Keong Kwoh, Guillaume Bourque, Alan Christoffels, Dong-Yup Lee, Gunaretnam Rajagopal										
#Keynotes	Edison Liu, Sang Yup Lee, Andrei Lupas, Howard Cedar, Vivian Cheung, Temple F. Smith, Suzanne Cory										
#Proceedings_Type	LNCS										
#Proceedings_Volume	4955										
#Authors	RECOMB 2008 Paper Title (Original)	LNCS 4955 Pages	LNCS 4955 DOI	Preprint	Preprint DOI Prefix	Journal Name	Title in Journal Version	Journal Authors	Journal Volume, Issue, and Pages	Journal Publication Year	Journal Version DOI
Maxim Kalaev, Vineet Bafna, Roded Sharan	Fast and Accurate Alignment of Multiple Protein Networks	246-256	10.1007/978-3-540-78839-3_21	NONE		Journal of Computational Biology	Fast and Accurate Alignment of Multiple Protein Networks	Maxim Kalaev, Vineet Bafna, Roded Sharan	16(8): 989-999	2009	10.1089/cmb.2009.0136
Michael Baym, Chris Bakal, Norbert Perrimon, Bonnie Berger	High-Resolution Modeling of Cellular Signaling Networks	257-271	10.1007/978-3-540-78839-3_22	NONE		NONE	NA	NA	NA	NA	NA
J. Gordon Burleigh, Mukul S. Bansal, Andre Wehe, Oliver Eulenstein	Locating Multiple Gene Duplications through Reconciled Trees	273-284	10.1007/978-3-540-78839-3_24	NONE		Journal of Computational Biology	Locating Large-Scale Gene Duplication Events through Reconciled Trees: Implications for Identifying Ancient Polyploidy Events in Plants	J. Gordon Burleigh, Mohit Bansal, André Wehe, Oliver Eulenstein	16(8): 1071-1083	2009	10.1089/cmb.2009.0139
Jing Zhang, Xin Gao, Jinbo Xu, Ming Li	Rapid and Accurate Protein Side Chain Prediction with Local Backbone Information	285-299	10.1007/978-3-540-78839-3_25	NONE		NONE	NA	NA	NA	NA	NA
Wei Zheng, Alan M. Friedman, Chris Bailey-Kellogg	Algorithms for Joint Optimization of Stability and Diversity in Planning Combinatorial Libraries of Chimeric Proteins	300-314	10.1007/978-3-540-78839-3_26	NONE		Journal of Computational Biology	Algorithms for Joint Optimization of Stability and Diversity in Planning Combinatorial Libraries of Chimeric Proteins	Wei Zheng, Alan M. Friedman, Chris Bailey‐Kellogg	16(8): 1151-1168	2009	10.1089/cmb.2009.0090
Christophe Dessimoz, Daniel Margadant, Gaston H. Gonnet	DLIGHT Lateral Gene Transfer Detection Using Pairwise Evolutionary Distances in a Statistical Framework	315-330	10.1007/978-3-540-78839-3_27	NONE		NONE	NA	NA	NA	NA	NA
Sebastian Böcker, Katharina Jahn, Julia Mixtacki, Jens Stoye	Computation of Median Gene Clusters	331-345	10.1007/978-3-540-78839-3_28	NONE		Journal of Computational Biology	Computation of Median Gene Clusters	Sebastian Böcker, Katharina Jahn, Julia Mixtacki, Jens Stoye	16(8): 1085-1099	2009	10.1089/cmb.2009.0098
Igor Ulitsky, Richard M. Karp, Ron Shamir	Detecting Disease-Specific Dysregulated Pathways Via Analysis of Clinical Expression Profiles	347-359	10.1007/978-3-540-78839-3_30	NONE		NONE	NA	NA	NA	NA	NA
Delbert Dueck, Brendan J. Frey, Nebojsa Jojic, Vladimir Jojic, Guri Giaever, Andrew Emili, Gabe Musso, Robert Hegele	Constructing Treatment Portfolios Using Affinity Propagation	360-371	10.1007/978-3-540-78839-3_31	NONE		NONE	NA	NA	NA	NA	NA
Michael Sammeth, Gabriel Valiente, Roderic Guigó	Bubbles: Alternative Splicing Events of Arbitrary Dimension in Splicing Graphs	372-395	10.1007/978-3-540-78839-3_32	NONE		Journal of Computational Biology	Complete Alternative Splicing Events Are Bubbles in Splicing Graphs	Michael Sammeth	16(8): 1117-1140	2009	10.1089/cmb.2009.0108
Bin Ma and Xiaoming Sun	More Efficient Algorithms for Closest String and Substring Problems	396-409	10.1007/978-3-540-78839-3_33	NONE		SIAM Journal on Computing	More Efficient Algorithms for Closest String and Substring Problems	Bin Ma, Xiaoming Sun	39(4): 1432-1443	2009	10.1137/080739069
Oliver Stegle, Anitha Kannan, Richard Durbin, John Winn	Accounting for Non-genetic Factors Improves the Power of eQTL Studies	411-422	10.1007/978-3-540-78839-3_35	NONE		PLoS Computational Biology	A Bayesian Framework to Account for Complex Non-Genetic Factors in Gene Expression Levels Greatly Increases Power in eQTL Studies	Oliver Stegle, Leopold Parts, Richard Durbin, John Winn	6(5): e1000770	2010	10.1371/journal.pcbi.1000770
Andreas Sundquist, Eugene Fratkin, Chuong B. Do, Serafim Batzoglou	Effects of Genetic Divergence in Identifying Ancestral Origin Using HAPAA	423-423	10.1007/978-3-540-78839-3_36	NONE		Genome Research	Effect of genetic divergence in identifying ancestral origin using HAPAA	Andreas Sundquist, Eugene Fratkin, Chuong B. Do, Serafim Batzoglou	18(4): 676-682	2008	10.1101/gr.072850.107
Sriram Sankararaman, Gad Kimmel, Eran Halperin, Michael I. Jordan	On the Inference of Ancestries in Admixed Populations	424-433	10.1007/978-3-540-78839-3_37	NONE		Genome Research	On the inference of ancestries in admixed populations	Sriram Sankararaman, Gad Kimmel, Eran Halperin, Michael I. Jordan	18(4): 668-675	2008	10.1101/gr.072751.107
Eleazar Eskin	Increasing Power in Association Studies by Using Linkage Disequilibrium Structure and Molecular Function as Prior Information	434-434	10.1007/978-3-540-78839-3_38	NONE		Genome Research	Increasing power in association studies by using linkage disequilibrium structure and molecular function as prior information	Eleazar Eskin	18(4): 653-660	2008	10.1101/gr.072785.107
Sivan Bercovici, Dan Geiger, Liran Shlush, Karl Skorecki, Alan Templeton	Panel Construction for Mapping in Admixed Populations Via Expected Mutual Information	435-449	10.1007/978-3-540-78839-3_39	NONE		Genome Research	Panel construction for mapping in admixed populations via expected mutual information	Sivan Bercovici, Dan Geiger, Liran I. Shlush, Karl Skorecki, Alan R. Templeton	18(4): 661-667	2008	10.1101/gr.073148.107
Leo van Iersel, Judith Keijsper, Steven Kelk, Leen Stougie, Ferry Hagen, Teun Boekhout	Constructing Level-2 Phylogenetic Networks from Triplets	450-462	10.1007/978-3-540-78839-3_40	NONE		Bioinformatics	Constructing Level-2 Phylogenetic Networks from Triplets	Leo van Iersel, Judith Keijsper, Steven Kelk, Leen Stougie, Ferry Hagen, Teun Boekhout	6(4): 667-681	2009	10.1109/tcbb.2009.22
Rune B. Lyngsø, Yun S. Song, Jotun Hein	Accurate Computation of Likelihoods in the Coalescent with Recombination Via Parsimony	463-478	10.1007/978-3-540-78839-3_41	NONE		NONE	NA	NA	NA	NA	NA
