Authors	Title (RECOMB 2023 Version)	LNCS 13976 Pages	LNCS 13976 DOI	Preprint	Journal	Title (Journal version)	Journal Authors	Issue and Pages	Journal Year	Journal DOI
Omar Ahmed, Massimiliano Rossi, Christina Boucher, Ben Langmead	Efficient Taxa Identification Using a Pangenome Index	214-216	10.1007/978-3-031-29119-7	NONE	Genome Research	Efficient taxa identification using a pangenome index	Omar Ahmed, Massimiliano Rossi, Christina Boucher, Ben Langmead	33(7): 1069-1077	2023	10.1101/gr.277642.123
Claire McWhite, Mona Singh	Vector-Clustering Multiple Sequence Alignment: Aligning into the Twilight Zone of Protein Sequence Similarity with Protein Language Models	217-218	10.1007/978-3-031-29119-7	bioRxiv 2022.10.21.513099	Genome Research	Leveraging protein language models for accurate multiple sequence alignments	Claire McWhite, Isabel Armour-Garb, Mona Singh	33(7): 1145-1153	2023	10.1101/gr.277675.123
Yuelin Liu, Xuan Cindy Li, Farid Rashidi Mehrabadi, Alejandro A. Schäffer, Drew Pratt, David R. Crawford, Salem Malikic, Erin K. Molloy, Vishaka Gopalan, Stephen M. Mount, Eytan Ruppin, Kenneth Aldape, S. Cenk Sahinalp	Single-Cell Methylation Sequencing Data Reveal Succinct Metastatic Migration Histories and Tumor Progression Models	219-221	10.1007/978-3-031-29119-7	bioRxiv 2021.03.22.436475	Genome Research	Single-cell methylation sequencing data reveal succinct metastatic migration histories and tumor progression models	Yuelin Liu, Xuan Cindy Li, Farid Rashidi Mehrabadi, Alejandro A. Schäffer, Drew Pratt, David R. Crawford, Salem Malikic, Erin K. Molloy, Vishaka Gopalan, Stephen M. Mount, Eytan Ruppin, Kenneth Aldape, S. Cenk Sahinalp	33(7): 1089-1100	2023	10.1101/gr.277608.122
Chihao Zhang, Yiling Elaine Chen, Shihua Zhang, Jingyi Jessica Li	Information-Theoretic Classification Accuracy: A Criterion That Guides Data-Driven Combination of Ambiguous Outcome Labels in Multi-class Classification	222-223	10.1007/978-3-031-29119-7	arXiv:2109.00582	Journal of Machine Learning Research	Information-theoretic Classification Accuracy: A Criterion that Guides Data-driven Combination of Ambiguous Outcome Labels in Multi-class Classification	Chihao Zhang, Yiling Elaine Chen, Shihua Zhang, Jingyi Jessica Li	23(341): 1-65	2022	NONE
David Pellow, Lianrong Pu, Baris Ekim, Lior Kotlar, Ron Shamir, Yaron Orenstein	Efficient Minimizer Orders for Large Values of k Using Minimum Decycling Sets	224-226	10.1007/978-3-031-29119-7	bioRxiv 2022.10.18.512682	Genome Research	Efficient minimizer orders for large values of k using minimum decycling sets	David Pellow, Lianrong Pu, Baris Ekim, Lior Kotlar, Bonnie Berger, Ron Shamir, Yaron Orenstein	33(7): 1154-1161	2023	 10.1101/gr.277644.123
Daniel N. Baker, Ben Langmead	Dashing 2: Genomic Sketching with Multiplicities and Locality-Sensitive Hashing	227-228	10.1007/978-3-031-29119-7	bioRxiv 2022.10.16.512384	Genome Research	Genomic sketching with multiplicities and locality-sensitive hashing using Dashing 2	Daniel N. Baker, Ben Langmead	33(7): 1218-1227	2023	10.1101/gr.277655.123
Palash Sashittal, Henri Schmidt, Michelle Chan, Benjamin J. Raphael	Startle: A Star Homoplasy Approach for CRISPR-Cas9 Lineage Tracing	229	10.1007/978-3-031-29119-7	bioRxiv 2022.12.18.520935	Cell Systems	Startle: A star homoplasy approach for CRISPR-Cas9 lineage tracing	Palash Sashittal, Henri Schmidt, Michelle Chan, Benjamin J. Raphael	14(12): 1113-1121.e9	2023	10.1016/j.cels.2023.11.005
Louxin Zhang, Niloufar Abhari, Caroline Colijn, Yufeng Wu	A fast and scalable method for inferring phylogenetic networks from trees by aligning lineage taxon strings	230-232	10.1007/978-3-031-29119-7	arXiv:2301.00992	Genome Research	A fast and scalable method for inferring phylogenetic networks from trees by aligning lineage taxon strings	Louxin Zhang, Niloufar Abhari, Caroline Colijn, Yufeng Wu	33(7): 1053-1060	2023	10.1101/gr.277669.123
Amir Joudaki, Alexandru Meterez, Harun Mustafa, Ragnar Groot Koerkamp, André Kahles, Gunnar Rätsch	Aligning Distant Sequences to Graphs using Long Seed Sketches	233-235	10.1007/978-3-031-29119-7	bioRxiv 2022.10.26.513890 	Genome Research	Aligning distant sequences to graphs using long seed sketches	Amir Joudaki, Alexandru Meterez, Harun Mustafa, Ragnar Groot Koerkamp, André Kahles, Gunnar Rätsch	33(7): 1208-1217	2023	10.1101/gr.277659.123
Uyen Mai, Eduardo Charvel, Siavash Mirarab	MD-Cat: Phylogenetic Dating under a Flexible Categorical Model using Expectation-Maximization	236-238	10.1007/978-3-031-29119-7	bioRxiv 2022.10.06.511147	Systematic Biology	Expectation-Maximization enables Phylogenetic Dating under a Categorical Rate Model	Uyen Mai, Eduardo Charvel, Siavash Mirarab	73(5): 823-838	2024	10.1093/sysbio/syae034
Aditya Gorla, Sriram Sankararaman, Esteban Burchard, Jonathan Flint, Noah Zaitlen, Elior Rahmani	Phenotypic subtyping via contrastive learning	239-240	10.1007/978-3-031-29119-7	bioRxiv 2023.01.05.522921 	NONE					
Sara C. Schulte, Alexander Dilthey, Gunnar W. Klau	HOGVAX: Exploiting Peptide Overlaps to Maximize Population Coverage in Vaccine Design with Application to SARS-CoV-2	241-243	10.1007/978-3-031-29119-7	bioRxiv 2023.01.09.523288	Cell Systems	HOGVAX: Exploiting epitope overlaps to maximize population coverage in vaccine design with application to SARS-CoV-2	Sara C. Schulte, Alexander Dilthey, Gunnar W. Klau	14(12): 1122-1130	2023	10.1016/j.cels.2023.11.001
Regev Schweiger, Richard Durbin	Ultra-fast genome-wide inference of pairwise coalescence times (Final version)	244-246	10.1007/978-3-031-29119-7	bioRxiv 2023.01.06.522935 	Genome Research	Ultrafast genome-wide inference of pairwise coalescence times	Regev Schweiger, Richard Durbin	33(7): 1023-1031	2023	10.1101/gr.277665.123
Nathan LaPierre, Boyang Fu, Steven Turnbull, Eleazar Eskin, Sriram Sankararaman	Leveraging family data to design Mendelian Randomization that is provably robust to population stratification	247-248	10.1007/978-3-031-29119-7	bioRxiv 2023.01.05.522936	Genome Research	Leveraging family data to design Mendelian randomization that is provably robust to population stratification	Nathan LaPierre, Boyang Fu, Steven Turnbull, Eleazar Eskin, Sriram Sankararaman	33(7): 1032-1041	2023	10.1101/gr.277664.123
Ahsan Sanaullah, Degui Zhi, Shaojie Zhang	Minimal Positional Substring Cover: A Haplotype Threading Alternative to Li & Stephens Model	249-250	10.1007/978-3-031-29119-7	bioRxiv 2023.01.04.522803 	Genome Research	Minimal positional substring cover is a haplotype threading alternative to Li and Stephens model	Ahsan Sanaullah, Degui Zhi, Shaojie Zhang	33(7): 1007-1014	2023	10.1101/gr.277673.123
Hao Chen, Dongshunyi Li, Ziv Bar-Joseph	Cell segmentation for high-resolution spatial transcriptomics	251-253	10.1007/978-3-031-29119-7	bioRxiv 2023.01.11.523658	Nature Methods	SCS: cell segmentation for high-resolution spatial transcriptomics	Hao Chen, Dongshunyi Li, Ziv Bar-Joseph	20(8): 1237-1243	2023	10.1038/s41592-023-01939-3
Yudi Zhang, Ha Vu, Geetu Tuteja, Karin Dorman	Unsupervised Deep Peak Caller for ATAC-seq	254-256	10.1007/978-3-031-29119-7	bioRxiv 2023.01.07.523108	Genome Research	Unsupervised contrastive peak caller for ATAC-seq	Ha T.H. Vu, Yudi Zhang, Geetu Tuteja, Karin Dorman	33(7): 1133-1144	2023	10.1101/gr.277677.123
Rohit Singh, Alexander Wu, Anish Mudide, Bonnie Berger	Unraveling causal gene regulation from the RNA velocity graph using Velorama	257-258	10.1007/978-3-031-29119-7	bioRxiv 2022.10.18.512766	Cell Systems	Causal gene regulatory analysis with RNA velocity reveals an interplay between slow and fast transcription factors	Rohit Singh, Alexander Wu, Anish Mudide, Bonnie Berger	15(5):462-474	2024	10.1016/j.cels.2024.04.005
Vitalii Stebliankin, Azam Shirali, Prabin Baral, Prem Chapagain, Giri Narasimhan	PIsToN: Evaluating Protein Binding Interfaces with Transformer Networks	259-261	10.1007/978-3-031-29119-7	bioRxiv 2023.01.03.522623	Nature Machine Intelligence	Evaluating protein binding interfaces with transformer networks	Vitalii Stebliankin, Azam Shirali, Prabin Baral, Jimeng Shi, Prem Chapagain, Kalai Mathee, Giri Narasimhan	5: 1042–1053	2023	10.1038/s42256-023-00715-4
Rıza Özçelik, Alperen Bağ, Berk Atıl, Melih Barsbey, Arzucan Özgür, Elif Ozkirimli	DebiasedDTA: A Framework for Improving the Generalizability of Drug-Target Affinity Prediction Models	262-264	10.1007/978-3-031-29119-7	arXiv:2107.05556	Journal of Computational Biology	A Framework for Improving the Generalizability of Drug–Target Affinity Prediction Models	Rıza Özçelik, Alperen Bağ, Berk Atıl, Melih Barsbey, Arzucan Özgür, Elif Ozkirimli	30(11): 1226–1239	2023	10.1089/cmb.2023.0208
Zhihang Hu, Qinze Yu, Yucheng Guo, Taifeng Wang, Irwin King, Xin Gao, Le Song, Yu Li	Drug Synergistic Combinations Predictions via Large-Scale Pre-Training and Graph Structure Learning	265-267	10.1007/978-3-031-29119-7	arXiv:2301.05931	NONE					
Jiacheng Lin, Hanwen Xu, Addie Woicik, Jianzhu Ma, Sheng Wang	Pisces: a cross-modal contrastive learning approach to synergistic drug combination prediction	268-270	10.1007/978-3-031-29119-7	bioRxiv 2022.11.21.517439	Cell Genomics	Pisces: A multi-modal data augmentation approach for drug combination synergy prediction	Hanwen Xu, Jiacheng Lin, Addie Woicik, Zixuan Liu, Jianzhu Ma, Sheng Zhang, Hoifung Poon, Liewei Wang, Sheng Wang	5(7): 100892	2025	10.1016/j.xgen.2025.100892
Stefan Ivanovic, Mohammed El-Kebir	Modeling and Predicting Cancer Clonal Evolution with Reinforcement Learning	271-273	10.1007/978-3-031-29119-7	bioRxiv 2022.12.11.519917	Genome Research	Modeling and predicting cancer clonal evolution with reinforcement learning	Stefan Ivanovic, Mohammed El-Kebir	33(7): 1078-1088	2023	10.1101/gr.277672.123
Rajagopal Venkatesaramani, Zhiyu Wan, Brad Malin, Yevgeniy Vorobeychik	Enabling Trade-offs in Privacy and Utility in Genomic Data Beacons and Summary Statistics	274-276	10.1007/978-3-031-29119-7	arXiv:2302.01763	Genome Research	Enabling tradeoffs in privacy and utility in genomic data Beacons and summary statistics	Rajagopal Venkatesaramani, Zhiyu Wan, Brad Malin, Yevgeniy Vorobeychik	33(7): 1113-1123	2023	10.1101/gr.277674.123
Shuvom Sadhuka, Daniel Fridman, Bonnie Berger, Hyunghoon Cho	Accurate evaluation of transcriptomic re-identification risks using discriminative sequence models	277-279	10.1007/978-3-031-29119-7	bioRxiv 2023.04.13.536784	Genome Research	Assessing transcriptomic reidentification risks using discriminative sequence models	Shuvom Sadhuka, Daniel Fridman, Bonnie Berger, Hyunghoon Cho	33(7):1101–1112	2023	10.1101/gr.277699.123
