#Year	2004										
#Location	San Diego, CA, United States										
#Dates	March 27 - 31										
#Website	https://recomb.org/recomb2004										
#PC_Chair	Dan Gusfield										
#Organization_Committee	Philip E. Bourne (chair), Kristine Briedis, Apostol Gramada, Stephanie Hagstrom, Nancy Jensen, Dana Jermanis, Chris Smith, Peggy Wagner										
#Keynotes	Carlos D. Bustamante, Russell Doolittle, Andrew Fire, Richard Karp, William McGinnis, Deborah Nickerson, Martin Nowak, Christine Orengo, Elizabeth Winzeler										
#Proceedings_Type	ACM										
#Proceedings_Volume											
#Authors	RECOMB 2004 Title (Original)	ACM Pages	ACM Proceedings DOI	Preprint	Preprint DOI Prefix	Journal Name	Journal Version Title	Journal Authors	Journal Volume, Issue, and Pages	Journal Publication Year	Journal Version DOI
Alexis Battle, Eran Segal, Daphne Koller	Probabilistic discovery of overlapping cellular processes and their regulation	167–176	10.1145/974614.974637	NONE		Journal of Computational Biology	Probabilistic Discovery of Overlapping Cellular Processes and Their Regulation	Alexis Battle, Eran Segal, Daphne Koller	12(7): 909-927	2005	10.1089/cmb.2005.12.909
Adam Siepel, David Haussler	Computational identification of evolutionarily conserved exons	177–186	10.1145/974614.974638	NONE		NONE	NA	NA	NA	NA	NA
Sourav Chatterji, Lior Pachter	Multiple organism gene finding by collapsed gibbs sampling	187–193	10.1145/974614.974639	NONE		Journal of Computational Biology	Large Multiple Organism Gene Finding by Collapsed Gibbs Sampling	Sourav Chatterji, Lior Pachter	12(6): 599-608	2005	10.1089/cmb.2005.12.599
Michael A. Erdmann	Protein similarity from knot theory and geometric convolution	195–204	10.1145/974614.974641	NONE		Journal of Computational Biology	Protein Similarity from Knot Theory: Geometric Convolution and Line Weavings	Michael Erdmann	12(6): 609-637	2005	10.1089/cmb.2005.12.609
Yih-En Andrew Ban, Herbert Edelsbrunner, Johannes Rudolph	Interface surfaces for protein-protein complexes	205–212	10.1145/974614.974642	NONE		NONE	NA	NA	NA	NA	NA
Pavel A. Pevzner, Haixu Tang, Glenn Tesler	De novo repeat classification and fragment assembly	213–222	11/974614.974643	NONE		Genome Research	De Novo Repeat Classification and Fragment Assembly	Paul A. Pevzner, Haixu Tang, Glenn Tesler	14(9): 1786-1796	2004	10.1101/gr.2395204
Ydo Wexler, Zohar Yakhini, Yechezkel Kashi, Dan Geiger	Finding approximate tandem repeats in genomic sequences	223–232	10.1145/974614.974644	NONE		Journal of Computational Biology	Finding Approximate Tandem Repeats in Genomic Sequences	Ydo Wexler, Zohar Yakhini, Yechezkel Kashi, Dan Geiger	12(7): 928-942	2005	10.1089/cmb.2005.12.928
Ross A. Lippert, Xiaoyue Zhao, Liliana Florea, Clark Mobarry, Sorin Istrail	Finding anchors for genomic sequence comparison	233–241	10.1145/974614.974645	NONE		Journal of Computational Biology	Finding Anchors for Genomic Sequence Comparison	Ross A. Lippert, Xiaoyue Zhao, Liliana Florea, Clark Mobarry, Sorin Istrail	12(6): 762-776	2005	10.1089/cmb.2005.12.762
Zasha Weinberg, Walter L. Ruzzo	Faster genome annotation of non-coding RNA families without loss of accuracy	243–251	10.1145/974614.974647	NONE		Bioinformatics	Exploiting conserved structure for faster annotation of non-coding RNAs without loss of accuracy	Zasha Weinberg, Walter L. Ruzzo	20(suppl_1): i334-i341	2004	10.1093/bioinformatics/bth925
Xinyu Tang, Bonnie Kirkpatrick, Shawna Thomas, Guang Song, Nancy M. Amato	Using motion planning to study RNA folding kinetics	252–261	10.1145/974614.974648	NONE		Journal of Computational Biology	Using Motion Planning to Study RNA Folding Kinetics	Xinyu Tang, Bonnie Kirkpatrick, Shawna Thomas, Guang Song, Nancy M. Amato	12(6): 862-881	2005	10.1089/cmb.2005.12.862
