#Year	1997										
#Location	Santa Fe, NM, United States										
#Dates	January 20 - 23										
#Website	https://recomb.org/recomb1997										
#PC_Chair	Michael Waterman										
#Organization_Committee	Sorin Istrail (chair), Bonnie Berger, Chris Fields, William Hart, Sylvia Spengler										
#Keynotes	Rich Roberts, Eric Lander, Robert Lipshutz, David Botstein, Sam Karlin, Martin Karplus, Jonathan King, Temple Smith, Terry Speed										
#Proceedings_Type	ACM										
#Proceedings_Volume											
#Authors	RECOMB 1997 Title (Original)	ACM Pages	ACM Proceedings DOI	Preprint	Preprint DOI Prefix	Journal Name	Journal Version Title	Journal Authors	Journal Volume, Issue, and Pages	Journal Publication Year	Journal Version DOI
Tao Jiang, Richard M. Karp	Mapping clones with a given ordering or interleaving	162	10.1145/267521.267543	NONE		Algorithmica	Mapping Clones with a Given Ordering or Interleaving	Tao Jiang, Richard M. Karp	21(3): 262-284	1998	10.1007/pl00009215
Haim Kaplan, Ron Shamir, Robert E. Tarjan	Faster and simpler algorithm for sorting signed permutations by reversals	163	10.1145/267521.267544	NONE		SIAM Journal on Computing	A Faster and Simpler Algorithm for Sorting Signed Permutations by Reversals	Haim Kaplan, Ron Shamir, Robert E. Tarjan	29(3): 880-892	2000	10.1137/s0097539798334207
George A. Komatsoulis, Michael S. Waterman	Chimeric alignment by dynamic programming: algorithm and biological uses	174–180	10.1145/267521.267546	NONE		Applied and Environmental Microbiology	A new computational method for detection of chimeric 16S rRNA artifacts generated by PCR amplification from mixed bacterial populations	George A. Komatsoulis, Michael S. Waterman	63(6): 2338-2346	1997	10.1128/aem.63.6.2338-2346.1997
Hans-Peter Lenhof	New contact measures for the protein docking problem	182–191	10.1145/267521.267547	NONE		NONE					
Shili Lin, Terence P. Speed	An algorithm for haplotype analysis	192–200	10.1145/267521.267548	NONE		Journal of Computational Biology	An Algorithm for Haplotype Analysis	Shili Lin, Terence P. Speed	4(4): 535-546	1997	10.1089/cmb.1997.4.535
Hiroshi Mamitsuka	Supervised learning of hidden Markov models for sequence discrimination	202–208	10.1145/267521.267551	NONE		Journal of Computational Biology	A Learning Method of Hidden Markov Models for Sequence Discrimination	Hiroshi Mamitsuka	3(3): 361-373	1996	10.1089/cmb.1996.3.361
S. Muthukrishnan, Laxmi Parida	Towards constructing physical maps by optical mapping: an effective, simple, combinatorial approach	209–219	10.1145/267521.267552	NONE		NONE	NA	NA	NA	NA	NA
Gene Myers, Sanford Selznick, Zheng Zhang, Webb Miller	Progressive multiple alignment with constraints	220–225	10.1145/267521.267758	NONE		Journal of Computational Biology	Progressive Multiple Alignment with Constraints	Gene Myers, Sanford Selznick, Zheng Zhang, Webb Miller	3(4): 563-572	1996	10.1089/cmb.1996.3.563
Mitsunori Ogihara, Animesh Ray	Simulating Boolean circuits on a DNA computer	226–231	10.1145/267521.267759	NONE		Algorithmica	Simulating Boolean Circuits on a DNA Computer	Mitsunori Ogihara, Animesh Ray	25(2-3): 239-250	1999	10.1007/pl00008276
Martin G. Reese, Frank H. Eeckman, David Kulp, David Haussler	Improved splice site detection in Genie	232–240	10.1145/267521.267766	NONE		Journal of Computational Biology	Improved Splice Site Detection in Genie	Martin G. Reese, Frank H. Eeckman, David Kulp, David Haussler	4(3): 311-323	1997	10.1089/cmb.1997.4.311
K. Reinert, H.-P. Lenhof, P. Mutzel, K. Mehlhorn, J. D. Kececioglu	A branch-and-cut algorithm for multiple sequence alignment	241–250	10.1145/267521.267845	NONE		NONE					
David B. Wilson, David S. Greenberg, Cynthia A. Phillips	Beyond islands: runs in clone-probe matrices	320–329	10.1145/267521.267891	NONE		NONE	NA	NA	NA	NA	NA
Ying Xu, Edward C. Uberbacher	Reference-based gene model prediction on DNA contigs	330–336	10.1145/267521.267892	NONE		NONE	NA	NA	NA	NA	NA
Zheng Zhang, William R. Pearson, Webb Miller	Aligning a DNA sequence with a protein sequence	337–343	10.1145/267521.267893	NONE		Journal of Computational Biology	Aligning a DNA Sequence with a Protein Sequence	Zheng Zhang, William R. Pearson, Webb Miller	4(3): 339-349	1997	10.1089/cmb.1997.4.339
Ralf Zimmer, Thomas Lengauer	Fast and numerically stable parametric alignment of biosequences	344–353	10.1145/267521.267894	NONE		NONE	NA	NA	NA	NA	NA
